subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T13:49:25.165611+00:00,51d71e91c36bdacd,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T13:49:25.165744+00:00,7bfe41e07d159765,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T13:49:25.165779+00:00,9ec62be8fd045608,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T13:49:25.165902+00:00,2f379647a685c17f,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T13:49:25.168279+00:00,2decff53ebf3ac89,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,653433794,0.0,2026-07-15T13:49:25.168524+00:00,1afaf37c9c35d730,7039235a86e0ed6569a588368ac0e6a2b0d43f7b94a6e5387f588533e311a5da,True,flag,structuring,mock: flag(benign),60,16,0.0,True,,,"{""suspicious"": true, ""typology"": ""structuring"", ""rationale"": ""mock: flag(benign)""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,187749425,0.0,2026-07-15T13:49:25.168555+00:00,6fbe802af31bba32,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,1150219371,0.0,2026-07-15T13:49:25.168583+00:00,ba0e36cd2bd127a4,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,696444186,0.0,2026-07-15T13:49:25.168721+00:00,788d5bc3bcb9dc92,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,56139592,0.0,2026-07-15T13:49:25.169568+00:00,fc44c7d2a996c04b,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-002,benign,,medium,benign:genuine_trade_finance,2056509707,0.0,2026-07-15T13:49:25.169596+00:00,28acce66e38a9b1e,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,844643352,0.0,2026-07-15T13:49:25.169622+00:00,74ba7d1f28b7cbc5,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-011,benign,,medium,benign:genuine_trade_finance,59126701,0.0,2026-07-15T13:49:25.169782+00:00,2c6f1a684210ba44,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-012,benign,,medium,benign:genuine_trade_finance,799098651,0.0,2026-07-15T13:49:25.169912+00:00,fcf91111899870d6,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-013,benign,,medium,benign:genuine_trade_finance,2087259092,0.0,2026-07-15T13:49:25.170606+00:00,5646cf5b460938a9,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-e-000,benign,,easy,benign:loan_disbursement,598461011,0.0,2026-07-15T13:49:25.170641+00:00,ab27ffc8a061dfc6,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-e-011,benign,,easy,benign:loan_disbursement,928847668,0.0,2026-07-15T13:49:25.170815+00:00,a2fb45efeef4c187,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-e-002,benign,,easy,benign:loan_disbursement,887659690,0.0,2026-07-15T13:49:25.170979+00:00,c6e962c5d68dc377,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-e-008,benign,,easy,benign:loan_disbursement,163434907,0.0,2026-07-15T13:49:25.171014+00:00,0f74961184c96f59,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-e-006,benign,,easy,benign:loan_disbursement,795024909,0.0,2026-07-15T13:49:25.171701+00:00,343211f260653373,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-h-000,benign,,hard,benign:loan_disbursement,1039236443,0.0,2026-07-15T13:49:25.172149+00:00,b76b1edc67132d53,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-h-004,benign,,hard,benign:loan_disbursement,1934569716,0.0,2026-07-15T13:49:25.172220+00:00,89e7bac33d28f9fa,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-h-005,benign,,hard,benign:loan_disbursement,285588711,0.0,2026-07-15T13:49:25.172240+00:00,9ac7de898157175f,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-h-009,benign,,hard,benign:loan_disbursement,259349024,0.0,2026-07-15T13:49:25.172262+00:00,5d865c77b88054fc,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-m-005,benign,,medium,benign:loan_disbursement,1965514453,0.0,2026-07-15T13:49:25.172929+00:00,80a4edc332779e0b,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-m-006,benign,,medium,benign:loan_disbursement,1501375903,0.0,2026-07-15T13:49:25.173192+00:00,a5f9696c731043c9,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-m-007,benign,,medium,benign:loan_disbursement,2056645896,0.0,2026-07-15T13:49:25.173216+00:00,a2729d9e4451c1ab,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-m-008,benign,,medium,benign:loan_disbursement,2004022720,0.0,2026-07-15T13:49:25.173240+00:00,75fa562428ccf801,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-m-010,benign,,medium,benign:loan_disbursement,360230301,0.0,2026-07-15T13:49:25.173262+00:00,498352afaee29326,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-loan_disbursement-m-012,benign,,medium,benign:loan_disbursement,944644761,0.0,2026-07-15T13:49:25.174204+00:00,15e7068983449ed1,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-e-000,benign,,easy,benign:marketplace_payouts,932684803,0.0,2026-07-15T13:49:25.174231+00:00,13ad4790f75187ac,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-e-003,benign,,easy,benign:marketplace_payouts,1689463888,0.0,2026-07-15T13:49:25.174256+00:00,aa1e610bdf4e3c5c,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-e-004,benign,,easy,benign:marketplace_payouts,1908327648,0.0,2026-07-15T13:49:25.174282+00:00,0a1f36ce711dff48,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-e-008,benign,,easy,benign:marketplace_payouts,1521918683,0.0,2026-07-15T13:49:25.174531+00:00,0d0cdfcbbb2024dd,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-e-011,benign,,easy,benign:marketplace_payouts,1984441155,0.0,2026-07-15T13:49:25.175699+00:00,ab49e439b82985f8,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-h-004,benign,,hard,benign:marketplace_payouts,74475021,0.0,2026-07-15T13:49:25.175744+00:00,39a7dd7f9b9a805e,7039235a86e0ed6569a588368ac0e6a2b0d43f7b94a6e5387f588533e311a5da,True,flag,structuring,mock: flag(benign),60,16,0.0,True,,,"{""suspicious"": true, ""typology"": ""structuring"", ""rationale"": ""mock: flag(benign)""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-h-008,benign,,hard,benign:marketplace_payouts,1653577270,0.0,2026-07-15T13:49:25.175821+00:00,36b490e09d487ce1,7039235a86e0ed6569a588368ac0e6a2b0d43f7b94a6e5387f588533e311a5da,True,flag,structuring,mock: flag(benign),60,16,0.0,True,,,"{""suspicious"": true, ""typology"": ""structuring"", ""rationale"": ""mock: flag(benign)""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-h-009,benign,,hard,benign:marketplace_payouts,1354882132,0.0,2026-07-15T13:49:25.176002+00:00,9633dd637e7f34ae,7039235a86e0ed6569a588368ac0e6a2b0d43f7b94a6e5387f588533e311a5da,True,flag,structuring,mock: flag(benign),60,16,0.0,True,,,"{""suspicious"": true, ""typology"": ""structuring"", ""rationale"": ""mock: flag(benign)""}"
pilot,MOCK,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-marketplace_payouts-h-010,benign,,hard,benign:marketplace_payouts,852326432,0.0,2026-07-15T13:49:25.176093+00:00,04290eddcd105afb,7039235a86e0ed6569a588368ac0e6a2b0d43f7b94a6e5387f588533e311a5da,True,flag,structuring,mock: flag(benign),60,16,0.0,True,,,"{""suspicious"": true, ""typology"": ""structuring"", ""rationale"": ""mock: flag(benign)""}"
