subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T15:46:40.328068+00:00,8501676beac6c170,abadc96a67aba7e8896684725ec49025e6ce2363fd5cdb86b14b49b4f4ea75e8,False,no_flag,,"The transaction volume is consistent with standard business operations, and the small utility payment and card settlement do not indicate a pattern of illicit layering or rapid pass-through.",409,51,9.2e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is consistent with standard business operations, and the small utility payment and card settlement do not indicate a pattern of illicit layering or rapid pass-through.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T15:46:40.344596+00:00,2e86178d41999a79,ed73309bf377e1c48b1c496170393bd50161ae4e04543b7a5b5b86530ea1c4bc,True,flag,trade_based,The large wire transfer followed by minimal business activity and receipt of payroll funds suggests the business account is being used as a pass-through rather than legitimate trade.,409,52,9.3e-05,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""The large wire transfer followed by minimal business activity and receipt of payroll funds suggests the business account is being used as a pass-through rather than legitimate trade.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T15:46:40.445279+00:00,93e9774ac474aad3,8cc8a812c78e49fce8726e002b09c0addf686de9c0d7c5b50620b50ee0b11288,False,no_flag,,"The transaction volume is low and consistent with standard business operations, showing no clear indicators of layering or illicit financial structuring.",408,42,8.6e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is low and consistent with standard business operations, showing no clear indicators of layering or illicit financial structuring.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T15:46:40.570047+00:00,77cbded8563008e9,aee3a4e84c67fb8ef1b3138ad4de454943d4968db462e6237364f8deee0da8b1,False,no_flag,,The transactions involve standard business payments and utility settlements. The amounts are consistent with typical commercial activity and do not indicate clear money laundering patterns.,407,46,8.9e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions involve standard business payments and utility settlements. The amounts are consistent with typical commercial activity and do not indicate clear money laundering patterns.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T15:46:40.865974+00:00,296575e84ce24cb9,37d4793a115cdc3062702840be081a903bd945fec9856966fc243271c2b27631,False,no_flag,,"The transactions involve standard business payments, payroll, and utility settlements. There is no evidence of layering, structuring, or rapid movement of funds indicative of money laundering.",407,51,9.2e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions involve standard business payments, payroll, and utility settlements. There is no evidence of layering, structuring, or rapid movement of funds indicative of money laundering.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T15:46:41.161578+00:00,971b8f0f88eb5146,7f8a66dbd7825e70b89c52c0ad613d524cad82a9f061a3e93b28db9eb551d306,True,flag,rapid_passthrough,"The BUYER and SELLER accounts exhibit rapid movement of funds inconsistent with standard business operations, involving multiple unrelated third-party entities and circular-like transaction patterns.",730,54,0.000142,True,,0,"{""suspicious"": true, ""typology"": ""rapid_passthrough"", ""rationale"": ""The BUYER and SELLER accounts exhibit rapid movement of funds inconsistent with standard business operations, involving multiple unrelated third-party entities and circular-like transaction patterns.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T15:46:41.260046+00:00,23189abad41fdab9,007d50786c22a48149c8c096070bb0ac16333aa7071ee9c3f7f751c3ffe264e0,True,flag,rapid_passthrough,"The buyer receives small, disparate payments from multiple sources and immediately wires a large sum to a foreign seller, indicating a rapid pass-through of funds.",735,52,0.000141,True,,2,"{""suspicious"": true, ""typology"": ""rapid_passthrough"", ""rationale"": ""The buyer receives small, disparate payments from multiple sources and immediately wires a large sum to a foreign seller, indicating a rapid pass-through of funds.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T15:46:41.346063+00:00,e0de604c7424ba86,5523889ffc45f5adae3dfa2e56aa5154ca3f5a0457b974d4fceeb8f9c876f16f,False,no_flag,,"The transactions reflect standard business operations including rent, payroll, tax payments, and vendor invoices, consistent with legitimate commercial activity for the involved business accounts.",732,48,0.000139,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions reflect standard business operations including rent, payroll, tax payments, and vendor invoices, consistent with legitimate commercial activity for the involved business accounts.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T15:46:41.655207+00:00,7d3108467c28f478,bee912cd6e5ccd031ef4511b71a4439b40321c5ef72deb8604e9393f5c8d304f,True,flag,trade_based,The large wire transfer between business entities followed by unrelated small-value rent and tax inflows suggests potential trade-based money laundering or invoice manipulation.,732,49,0.000139,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""The large wire transfer between business entities followed by unrelated small-value rent and tax inflows suggests potential trade-based money laundering or invoice manipulation.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T15:46:41.766300+00:00,ad201ee1a8262178,507b5748dbdd9d45068e244251f799b4aa93de0e1705910f12a3244b2fabc6a4,False,no_flag,,"The transaction volume is consistent with standard business operations, showing typical B2B payments, rent, and card settlements without evidence of layering or rapid pass-through patterns.",553,52,0.000114,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is consistent with standard business operations, showing typical B2B payments, rent, and card settlements without evidence of layering or rapid pass-through patterns.""}"
