subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T13:49:24.945442+00:00,7c18698319985f3d,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T13:49:24.945578+00:00,52002aaf54501728,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T13:49:24.945605+00:00,00d36687a5fd56ea,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T13:49:24.945724+00:00,4edfc75f37246529,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T13:49:24.948145+00:00,f06a90e6bedb9674,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T13:49:24.948418+00:00,3988b324625bd217,7039235a86e0ed6569a588368ac0e6a2b0d43f7b94a6e5387f588533e311a5da,True,flag,structuring,mock: flag(benign),60,16,0.0,True,,,"{""suspicious"": true, ""typology"": ""structuring"", ""rationale"": ""mock: flag(benign)""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T13:49:24.948465+00:00,77f3bbd16cae7050,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T13:49:24.948504+00:00,6476176192bb0e11,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T13:49:24.948750+00:00,40fd55d4f5fc113c,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
pilot,MOCK,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,275787065,0.0,2026-07-15T13:49:24.949855+00:00,90cdf883cd20b429,99e631c8805e48aa3203d2eaa4c3cdad8883e2772b2e70dc243354a10ccac037,False,no_flag,,mock: benign,60,16,0.0,True,,,"{""suspicious"": false, ""typology"": null, ""rationale"": ""mock: benign""}"
