subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T15:13:56.247594+00:00,8501676beac6c170,696da005830fb3caf184f417d5c1c4c7b90671f7cc8ce5b619a4cc565ae148fb,False,no_flag,,Transactions appear legitimate with verified accounts and reasonable amounts.,379,29,7.4e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear legitimate with verified accounts and reasonable amounts.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T15:13:56.340442+00:00,77cbded8563008e9,696da005830fb3caf184f417d5c1c4c7b90671f7cc8ce5b619a4cc565ae148fb,False,no_flag,,Transactions appear legitimate with verified accounts and reasonable amounts.,379,29,7.4e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear legitimate with verified accounts and reasonable amounts.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T15:13:56.403715+00:00,2e86178d41999a79,a43e29e94403830356c4c147942d953e18a83a90d1365df27a461965652edf52,True,flag,layering,Multiple transactions with varying amounts suggest potential layering to obscure the source of funds.,384,36,7.9e-05,True,,2,"{""suspicious"": true, ""typology"": ""layering"", ""rationale"": ""Multiple transactions with varying amounts suggest potential layering to obscure the source of funds.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T15:13:56.412808+00:00,296575e84ce24cb9,696da005830fb3caf184f417d5c1c4c7b90671f7cc8ce5b619a4cc565ae148fb,False,no_flag,,Transactions appear legitimate with verified accounts and reasonable amounts.,381,29,7.5e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear legitimate with verified accounts and reasonable amounts.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T15:13:56.444342+00:00,93e9774ac474aad3,29c1474355a1a5411bd480723627a9f398c62c94e1d0da1882db6dd809d8d354,True,flag,trade_based,Large wire transfer followed by invoice payment suggests potential trade-based money laundering.,384,35,7.9e-05,True,,1,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large wire transfer followed by invoice payment suggests potential trade-based money laundering.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T15:13:58.116079+00:00,23189abad41fdab9,115a96c659506e65de4e957924699c36a4e08c49c2012ead34bc3910a2316dcc,True,flag,layering,Multiple transactions with varying channels and amounts suggest potential layering of funds.,657,34,0.000119,True,,2,"{""suspicious"": true, ""typology"": ""layering"", ""rationale"": ""Multiple transactions with varying channels and amounts suggest potential layering of funds.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T15:13:58.129401+00:00,e0de604c7424ba86,115a96c659506e65de4e957924699c36a4e08c49c2012ead34bc3910a2316dcc,True,flag,layering,Multiple transactions with varying channels and amounts suggest potential layering of funds.,656,34,0.000119,True,,1,"{""suspicious"": true, ""typology"": ""layering"", ""rationale"": ""Multiple transactions with varying channels and amounts suggest potential layering of funds.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T15:13:58.130611+00:00,971b8f0f88eb5146,7b9f2304099f8417daa81a6142738d3578f16a4971899023f52526924841578b,True,flag,layering,Multiple transactions with various entities suggest potential layering to obscure the source of funds.,649,36,0.000119,True,,0,"{""suspicious"": true, ""typology"": ""layering"", ""rationale"": ""Multiple transactions with various entities suggest potential layering to obscure the source of funds.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T15:13:58.307101+00:00,7d3108467c28f478,115a96c659506e65de4e957924699c36a4e08c49c2012ead34bc3910a2316dcc,True,flag,layering,Multiple transactions with varying channels and amounts suggest potential layering of funds.,654,34,0.000118,True,,2,"{""suspicious"": true, ""typology"": ""layering"", ""rationale"": ""Multiple transactions with varying channels and amounts suggest potential layering of funds.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-002,benign,,medium,benign:genuine_trade_finance,396810015,0.0,2026-07-15T15:13:59.449874+00:00,671e35b139c5c6b2,89310053b686c6ba46f53f79dff655c96ccb10838bcf326da95f51869892a61e,False,no_flag,,All transactions appear legitimate with verified accounts and appropriate channels.,495,30,9.2e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""All transactions appear legitimate with verified accounts and appropriate channels.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,275787065,0.0,2026-07-15T15:13:59.578217+00:00,bb56a78303f2c650,8620aba519d21bbb4fb1961c6bdb76eea4ca95f52f6df6f8179732d334e6c43d,False,no_flag,,Transactions appear legitimate with verified accounts and appropriate channels.,498,29,9.2e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear legitimate with verified accounts and appropriate channels.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-011,benign,,medium,benign:genuine_trade_finance,1758447072,0.0,2026-07-15T15:13:59.804368+00:00,eed35a8a3ab79ef8,24c5eb9fa3cfc3109b9479c84dd22af9d34651e0f58dc94d9a78fd9ea9cbdd15,True,flag,layering,Multiple transactions with varying amounts and channels suggest potential layering of funds.,500,34,9.5e-05,True,,0,"{""suspicious"": true, ""typology"": ""layering"", ""rationale"": ""Multiple transactions with varying amounts and channels suggest potential layering of funds.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T15:14:00.117963+00:00,ad201ee1a8262178,1af3fa1729da89a8436cf8ce64d24b98ecab378a2e5c0b1a5d67296b64c0339d,True,flag,trade_based,Large transactions with multiple vendors and payments suggest potential trade-based money laundering.,502,35,9.6e-05,True,,0,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large transactions with multiple vendors and payments suggest potential trade-based money laundering.""}"
