subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T14:32:08.612372+00:00,7c18698319985f3d,deb84fa6feb375a4577b2d54b2d1c6633dfa3ed810a58bfb9d20ecdf2820381c,False,no_flag,,Single LC-backed payment with matching documentation; no layering or structuring indicators.,331,34,0.000187,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation; no layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T14:32:08.770536+00:00,f06a90e6bedb9674,a23f48648f5d661e0bd0f62361d9304d185122735018ed6474a3c7ca33be16d4,False,no_flag,,Single LC-backed payment with matching documentation between verified business accounts; no layering or structuring indicators.,331,38,0.000193,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation between verified business accounts; no layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T14:32:08.886929+00:00,52002aaf54501728,188180f58d118c84a733a97ca4311f4cc959721ac37119a4a751daea8ec5c626,False,no_flag,,"Single LC-backed payment with matching documentation shows low risk, no layering or structuring indicators.",331,37,0.000192,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation shows low risk, no layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T14:32:09.072022+00:00,00d36687a5fd56ea,65e0d8e7a4cab28a339e88926f938926bb2d5e5fb51068d25a5587043db7dc8c,False,no_flag,,LC-backed payment with matching documentation between verified businesses shows low risk of laundering.,331,34,0.000187,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching documentation between verified businesses shows low risk of laundering.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T14:32:09.114481+00:00,4edfc75f37246529,3f100af0c028ae61511ed50d2823dcdd01151e94742f867ad542814d12afc037,False,no_flag,,Single LC-backed payment with matching documentation between verified businesses; no layering or structuring indicators.,331,37,0.000192,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation between verified businesses; no layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T14:32:09.792039+00:00,77f3bbd16cae7050,3f100af0c028ae61511ed50d2823dcdd01151e94742f867ad542814d12afc037,False,no_flag,,Single LC-backed payment with matching documentation between verified businesses; no layering or structuring indicators.,331,37,0.000192,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation between verified businesses; no layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T14:32:09.796553+00:00,3988b324625bd217,94ee7c5f838205582cd2f2b4678f5bb6e159ccf3e5fbae16200e98110fe3c033,False,no_flag,,"Single LC-backed payment with matching documentation shows legitimate trade, no layering or structuring indicators.",331,37,0.000192,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation shows legitimate trade, no layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T14:32:10.065964+00:00,6476176192bb0e11,3f100af0c028ae61511ed50d2823dcdd01151e94742f867ad542814d12afc037,False,no_flag,,Single LC-backed payment with matching documentation between verified businesses; no layering or structuring indicators.,331,37,0.000192,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation between verified businesses; no layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T14:32:10.371799+00:00,40fd55d4f5fc113c,9ac43f26c8847a9c4bfedf5d4969e4097a7488acae6736cc5c0ababe05b84f7a,False,no_flag,,Single LC-backed payment with matching documentation shows no layering or structuring signs.,331,34,0.000187,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation shows no layering or structuring signs.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T14:32:10.447845+00:00,086711e7ef88e68b,a23f48648f5d661e0bd0f62361d9304d185122735018ed6474a3c7ca33be16d4,False,no_flag,,Single LC-backed payment with matching documentation between verified business accounts; no layering or structuring indicators.,331,38,0.000193,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Single LC-backed payment with matching documentation between verified business accounts; no layering or structuring indicators.""}"
