subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T14:25:13.594728+00:00,51d71e91c36bdacd,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T14:25:13.682542+00:00,2f379647a685c17f,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T14:25:14.017343+00:00,9ec62be8fd045608,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T14:25:14.047041+00:00,7bfe41e07d159765,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T14:25:14.087463+00:00,2decff53ebf3ac89,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,653433794,0.0,2026-07-15T14:25:14.870966+00:00,1afaf37c9c35d730,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,1150219371,0.0,2026-07-15T14:25:15.056860+00:00,ba0e36cd2bd127a4,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,187749425,0.0,2026-07-15T14:25:15.069535+00:00,6fbe802af31bba32,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,696444186,0.0,2026-07-15T14:25:15.242934+00:00,788d5bc3bcb9dc92,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,56139592,0.0,2026-07-15T14:25:15.452803+00:00,fc44c7d2a996c04b,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,292,30,6.2e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
