subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T15:11:38.926078+00:00,594516da298852de,0ade00b17e4e8f1d21be349d7a20255e4e46adb865fb5191c10ba098f003811b,False,no_flag,,"Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.",345,34,7.2e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T15:11:39.055540+00:00,bcf4b1b8e43832b0,0ade00b17e4e8f1d21be349d7a20255e4e46adb865fb5191c10ba098f003811b,False,no_flag,,"Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.",342,34,7.2e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T15:11:39.056104+00:00,8c3bff8632f7a248,0ade00b17e4e8f1d21be349d7a20255e4e46adb865fb5191c10ba098f003811b,False,no_flag,,"Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.",345,34,7.2e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T15:11:39.076975+00:00,b0d249da8fcbaa8d,0ade00b17e4e8f1d21be349d7a20255e4e46adb865fb5191c10ba098f003811b,False,no_flag,,"Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.",340,34,7.1e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T15:11:39.134202+00:00,801d0234a707a90c,0ade00b17e4e8f1d21be349d7a20255e4e46adb865fb5191c10ba098f003811b,False,no_flag,,"Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.",340,34,7.1e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions involve verified accounts and legitimate channels, showing no signs of suspicious activity.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,653433794,0.0,2026-07-15T15:11:40.385249+00:00,83848f9c3390c583,79b2d495524d0bad37f35f9da5866b3b1f52b102351a13bf9d1780e10946813f,True,flag,trade_based,High-value transactions between international accounts with multiple payment channels indicate potential trade-based money laundering.,618,38,0.000115,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""High-value transactions between international accounts with multiple payment channels indicate potential trade-based money laundering.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,187749425,0.0,2026-07-15T15:11:40.394100+00:00,23c5925682903f6e,ca2a1cd84ca0badd9397ac65254f420dfca3bc5c2991a4376ef3daf30bce2a7c,False,no_flag,,Transactions appear legitimate with verified entities and normal business activities.,610,30,0.000109,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear legitimate with verified entities and normal business activities.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,696444186,0.0,2026-07-15T15:11:40.411177+00:00,19c6641fc74fa453,933ab3f5547272d026e52ad7f4c0253fec62452eadc2758d00377010079f00f3,True,flag,trade_based,High-value transactions between verified businesses with multiple payment channels suggest potential trade-based money laundering.,615,38,0.000115,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""High-value transactions between verified businesses with multiple payment channels suggest potential trade-based money laundering.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,56139592,0.0,2026-07-15T15:11:40.436061+00:00,42ff77692671648b,d4fe6da9d6267702401aaeac46fdfe7252e947393824ec92d5d41996084c93e1,True,flag,trade_based,Large transactions between international accounts suggest potential trade-based money laundering.,463,33,8.9e-05,True,,0,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large transactions between international accounts suggest potential trade-based money laundering.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_terse,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,1150219371,0.0,2026-07-15T15:11:40.441738+00:00,bcec221e653d231e,01440276272460c835173b7b0a6df59420c93db74f947e97998a09d61eaf1f3c,True,flag,funnel_account,Multiple small payments to the seller suggest potential funneling of funds.,617,35,0.000114,True,,1,"{""suspicious"": true, ""typology"": ""funnel_account"", ""rationale"": ""Multiple small payments to the seller suggest potential funneling of funds.""}"
