subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T14:43:18.401237+00:00,7c18698319985f3d,2e2a8228b163d41f39978dbef08268d312409cb2eda4468412dcaa57caf64bce,False,no_flag,,"The transaction is supported by a letter of credit and verified trade documentation, indicating legitimate commercial activity rather than suspicious layering or laundering.",350,44,7.9e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit and verified trade documentation, indicating legitimate commercial activity rather than suspicious layering or laundering.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T14:43:18.517514+00:00,4edfc75f37246529,44a8f55cef103cc07a7a5bae535f547b3c7f49ee7e33ef4da1fca9fdffa5cd93,False,no_flag,,"The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.",350,45,7.9e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T14:43:18.537789+00:00,52002aaf54501728,44a8f55cef103cc07a7a5bae535f547b3c7f49ee7e33ef4da1fca9fdffa5cd93,False,no_flag,,"The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.",350,45,7.9e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T14:43:18.633593+00:00,00d36687a5fd56ea,3ad4949cd44d55da5a46d227163737dd2e5581cfc8f84c7c1939a81c6e68a8ae,False,no_flag,,"The transaction is supported by a letter of credit and verified trade documentation, indicating legitimate international trade activity with no indicators of illicit layering or structuring.",350,48,8.1e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit and verified trade documentation, indicating legitimate international trade activity with no indicators of illicit layering or structuring.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T14:43:18.743185+00:00,f06a90e6bedb9674,6f297953998240f17b59cef987177289ac19b59c46b98cc813b486bc62a0766c,False,no_flag,,"The transaction is supported by a letter of credit and verified trade documentation, indicating legitimate international trade activity with no clear indicators of money laundering.",350,46,8e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit and verified trade documentation, indicating legitimate international trade activity with no clear indicators of money laundering.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T14:43:19.030451+00:00,3988b324625bd217,ec4c0b32b13b07836919a101a17428e6b78da6a99925bb8e5779acd457c2c86c,False,no_flag,,"The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.",350,45,7.9e-05,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T14:43:19.194490+00:00,77f3bbd16cae7050,ee87dc987f55ab829d643f21c4d2ffaa503146e9b117981e71dffd545c4b9a7d,False,no_flag,,"The transaction is a standard trade-based payment supported by a letter of credit and verified shipping documentation, indicating legitimate commercial activity.",350,44,7.9e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is a standard trade-based payment supported by a letter of credit and verified shipping documentation, indicating legitimate commercial activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T14:43:19.487953+00:00,6476176192bb0e11,aa04007eaa29369f80ba4e7b0feb72c24802476e23b709e32d3e973b8e18e40d,False,no_flag,,"The transaction is a standard trade finance operation supported by a letter of credit and verified shipping documentation, indicating legitimate commercial activity.",350,43,7.8e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is a standard trade finance operation supported by a letter of credit and verified shipping documentation, indicating legitimate commercial activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T14:43:19.605171+00:00,40fd55d4f5fc113c,44a8f55cef103cc07a7a5bae535f547b3c7f49ee7e33ef4da1fca9fdffa5cd93,False,no_flag,,"The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.",350,45,7.9e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T14:43:19.693432+00:00,086711e7ef88e68b,ec4c0b32b13b07836919a101a17428e6b78da6a99925bb8e5779acd457c2c86c,False,no_flag,,"The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.",350,45,7.9e-05,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.""}"
