subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T14:29:24.290802+00:00,51d71e91c36bdacd,e6b3343086248a214d7507344b2fba4439ec020cdb55ea29f80d8bc2d2dc9777,False,no_flag,,LC-backed payment matches invoice and bill of lading; no red flags in transaction pattern or KYC.,292,40,0.000181,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment matches invoice and bill of lading; no red flags in transaction pattern or KYC.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T14:29:24.295370+00:00,7bfe41e07d159765,544b357e003681813ce7ef45dc3c9866bd505557acbab902fc10851bfca8384b,False,no_flag,,LC-backed payment with matching BoL and invoice indicates legitimate trade transaction.,292,33,0.00017,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching BoL and invoice indicates legitimate trade transaction.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T14:29:24.308276+00:00,2decff53ebf3ac89,a5a7627b9fdb4f561864fca327e721725adbd45c7fa9812233951da6d0c7558a,False,no_flag,,LC-backed payment with matching invoice and bill of lading indicates legitimate trade transaction.,292,35,0.000173,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching invoice and bill of lading indicates legitimate trade transaction.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T14:29:24.327327+00:00,2f379647a685c17f,722815b5c7c0bf39d0bf9c4d91be1d702db16f298e2b122614cc987c83437b70,False,no_flag,,LC-backed payment with matching documents between verified businesses in different countries.,292,32,0.000168,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching documents between verified businesses in different countries.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T14:29:24.352864+00:00,9ec62be8fd045608,544b357e003681813ce7ef45dc3c9866bd505557acbab902fc10851bfca8384b,False,no_flag,,LC-backed payment with matching BoL and invoice indicates legitimate trade transaction.,292,33,0.00017,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching BoL and invoice indicates legitimate trade transaction.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,187749425,0.0,2026-07-15T14:29:25.223130+00:00,6fbe802af31bba32,a5a7627b9fdb4f561864fca327e721725adbd45c7fa9812233951da6d0c7558a,False,no_flag,,LC-backed payment with matching invoice and bill of lading indicates legitimate trade transaction.,292,35,0.000173,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching invoice and bill of lading indicates legitimate trade transaction.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,1150219371,0.0,2026-07-15T14:29:25.500389+00:00,ba0e36cd2bd127a4,544b357e003681813ce7ef45dc3c9866bd505557acbab902fc10851bfca8384b,False,no_flag,,LC-backed payment with matching BoL and invoice indicates legitimate trade transaction.,292,33,0.00017,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching BoL and invoice indicates legitimate trade transaction.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,653433794,0.0,2026-07-15T14:29:26.266105+00:00,1afaf37c9c35d730,722815b5c7c0bf39d0bf9c4d91be1d702db16f298e2b122614cc987c83437b70,False,no_flag,,LC-backed payment with matching documents between verified businesses in different countries.,292,32,0.000168,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching documents between verified businesses in different countries.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,56139592,0.0,2026-07-15T14:29:26.513331+00:00,fc44c7d2a996c04b,8752aca58883aea82fa7ca5910e10f394f3a3b676ea45e563f60766bd555b264,False,no_flag,,LC-backed payment with matching documentation between verified business accounts in different countries.,292,33,0.00017,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching documentation between verified business accounts in different countries.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,844643352,0.0,2026-07-15T14:29:26.523037+00:00,74ba7d1f28b7cbc5,e74c0c6c267bb9901b674ba23851d18746453c2ce726b117f84d14cc6cd92cf2,False,no_flag,,LC-backed payment with matching documentation between verified businesses in different countries.,292,32,0.000168,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching documentation between verified businesses in different countries.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,696444186,0.0,2026-07-15T14:29:26.823295+00:00,788d5bc3bcb9dc92,544b357e003681813ce7ef45dc3c9866bd505557acbab902fc10851bfca8384b,False,no_flag,,LC-backed payment with matching BoL and invoice indicates legitimate trade transaction.,292,33,0.00017,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""LC-backed payment with matching BoL and invoice indicates legitimate trade transaction.""}"
