subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T14:41:41.132808+00:00,51d71e91c36bdacd,44a8f55cef103cc07a7a5bae535f547b3c7f49ee7e33ef4da1fca9fdffa5cd93,False,no_flag,,"The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.",307,45,7.3e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T14:41:41.463758+00:00,7bfe41e07d159765,4fad64dffd3e563da44c6c175374757d6076c1d26f36e11cc8b0290d58af2b08,False,no_flag,,"The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity.",307,41,7.1e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T14:41:41.467757+00:00,9ec62be8fd045608,4fad64dffd3e563da44c6c175374757d6076c1d26f36e11cc8b0290d58af2b08,False,no_flag,,"The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity.",307,41,7.1e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T14:41:41.468796+00:00,2f379647a685c17f,ee87dc987f55ab829d643f21c4d2ffaa503146e9b117981e71dffd545c4b9a7d,False,no_flag,,"The transaction is a standard trade-based payment supported by a letter of credit and verified shipping documentation, indicating legitimate commercial activity.",307,44,7.2e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is a standard trade-based payment supported by a letter of credit and verified shipping documentation, indicating legitimate commercial activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T14:41:41.660514+00:00,2decff53ebf3ac89,4fad64dffd3e563da44c6c175374757d6076c1d26f36e11cc8b0290d58af2b08,False,no_flag,,"The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity.",307,41,7.1e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,187749425,0.0,2026-07-15T14:41:42.043697+00:00,6fbe802af31bba32,4fad64dffd3e563da44c6c175374757d6076c1d26f36e11cc8b0290d58af2b08,False,no_flag,,"The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity.",307,41,7.1e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,653433794,0.0,2026-07-15T14:41:42.191874+00:00,1afaf37c9c35d730,32df7105c2db117a0fefef27243c5395ecc60f953fd7ddf04c7e2bde30a00125,False,no_flag,,"The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity with no indicators of illicit layering.",307,48,7.5e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit and verified trade documentation, indicating a legitimate commercial trade finance activity with no indicators of illicit layering.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,1150219371,0.0,2026-07-15T14:41:42.444349+00:00,ba0e36cd2bd127a4,63a15b30542e0d2b4ed765d16ac52ca0787991c6efd405f37c6ec7d16d325711,False,no_flag,,"The transaction is a standard trade-based payment backed by a letter of credit with verified documentation, indicating legitimate commercial activity.",307,43,7.2e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is a standard trade-based payment backed by a letter of credit with verified documentation, indicating legitimate commercial activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,696444186,0.0,2026-07-15T14:41:42.506847+00:00,788d5bc3bcb9dc92,71b2fb85a1c863985eec3e123bf4bae410e2fd28548423cbbd4588e0c33c0045,False,no_flag,,The transaction is a standard trade finance payment backed by a letter of credit with verified documentation matching the invoice and bill of lading.,307,44,7.2e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is a standard trade finance payment backed by a letter of credit with verified documentation matching the invoice and bill of lading.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,56139592,0.0,2026-07-15T14:41:42.614211+00:00,fc44c7d2a996c04b,44a8f55cef103cc07a7a5bae535f547b3c7f49ee7e33ef4da1fca9fdffa5cd93,False,no_flag,,"The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.",307,45,7.3e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction is supported by a letter of credit with verified documentation including a bill of lading and commercial invoice, indicating legitimate trade activity.""}"
