subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-000,benign,,easy,benign:genuine_trade_finance,486667293,0.0,2026-07-15T17:49:10.321866+00:00,2080a4a371d60bb3,955da5881f0aef6ebccfe7061fc3381779c59a8310782a65276cfe4912546e9f,False,no_flag,,"The transactions appear to be standard business operations, including a letter of credit payment and routine utility and vendor expenses, with no indicators of illicit layering or structuring.",407,50,9.1e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions appear to be standard business operations, including a letter of credit payment and routine utility and vendor expenses, with no indicators of illicit layering or structuring.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T17:49:10.444616+00:00,93e9774ac474aad3,8cc8a812c78e49fce8726e002b09c0addf686de9c0d7c5b50620b50ee0b11288,False,no_flag,,"The transaction volume is low and consistent with standard business operations, showing no clear indicators of layering or illicit financial structuring.",408,42,8.6e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is low and consistent with standard business operations, showing no clear indicators of layering or illicit financial structuring.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T17:49:10.524697+00:00,8501676beac6c170,abadc96a67aba7e8896684725ec49025e6ce2363fd5cdb86b14b49b4f4ea75e8,False,no_flag,,"The transaction volume is consistent with standard business operations, and the small utility payment and card settlement do not indicate a pattern of illicit layering or rapid pass-through.",409,51,9.2e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is consistent with standard business operations, and the small utility payment and card settlement do not indicate a pattern of illicit layering or rapid pass-through.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-003,benign,,easy,benign:genuine_trade_finance,1539897894,0.0,2026-07-15T17:49:10.658508+00:00,137074361055bff9,c8bf8e0ff8c6c75e3f3ca3526f70729f3d0176b3baef2a1999d671c4d02c9cc2,False,no_flag,,"The transactions represent standard business operations, including a letter of credit payment for goods and routine rent payments, with no indicators of illicit layering or structuring.",407,48,9e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions represent standard business operations, including a letter of credit payment for goods and routine rent payments, with no indicators of illicit layering or structuring.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T17:49:10.999199+00:00,2e86178d41999a79,ed73309bf377e1c48b1c496170393bd50161ae4e04543b7a5b5b86530ea1c4bc,True,flag,trade_based,The large wire transfer followed by minimal business activity and receipt of payroll funds suggests the business account is being used as a pass-through rather than legitimate trade.,409,52,9.3e-05,True,,1,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""The large wire transfer followed by minimal business activity and receipt of payroll funds suggests the business account is being used as a pass-through rather than legitimate trade.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-005,benign,,easy,benign:genuine_trade_finance,163290746,0.0,2026-07-15T17:49:11.163781+00:00,9680a15f562d844c,d8f40041af40d53e612fc331333f82a97d76b77f18034b423982196a7c5cf44d,False,no_flag,,"The transactions involve standard business payments and a minor rent payment. There is no evidence of layering, structuring, or illicit patterns in this small, isolated sub-network.",404,52,9.2e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions involve standard business payments and a minor rent payment. There is no evidence of layering, structuring, or illicit patterns in this small, isolated sub-network.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T17:49:11.415586+00:00,77cbded8563008e9,aee3a4e84c67fb8ef1b3138ad4de454943d4968db462e6237364f8deee0da8b1,False,no_flag,,The transactions involve standard business payments and utility settlements. The amounts are consistent with typical commercial activity and do not indicate clear money laundering patterns.,407,46,8.9e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions involve standard business payments and utility settlements. The amounts are consistent with typical commercial activity and do not indicate clear money laundering patterns.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-007,benign,,easy,benign:genuine_trade_finance,874569540,0.0,2026-07-15T17:49:11.642174+00:00,d72b9294f732b3bf,f59bf6e0bbd77a83041d3607375f43df2996d4eaf13030884300c20957a9a069,True,flag,trade_based,"The large initial wire transfer is followed by minimal operational outflows, suggesting the trade transaction may be a facade for moving funds rather than legitimate business activity.",409,50,9.1e-05,True,,1,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""The large initial wire transfer is followed by minimal operational outflows, suggesting the trade transaction may be a facade for moving funds rather than legitimate business activity.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T17:49:11.781639+00:00,296575e84ce24cb9,37d4793a115cdc3062702840be081a903bd945fec9856966fc243271c2b27631,False,no_flag,,"The transactions involve standard business payments, payroll, and utility settlements. There is no evidence of layering, structuring, or rapid movement of funds indicative of money laundering.",407,51,9.2e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions involve standard business payments, payroll, and utility settlements. There is no evidence of layering, structuring, or rapid movement of funds indicative of money laundering.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-009,benign,,easy,benign:genuine_trade_finance,1835733354,0.0,2026-07-15T17:49:12.068261+00:00,7cc8ac930aae83b5,6a30e3a32f3fc2b7139d2acf78281d1f77cd2a305e938096d6b42d3503f1a7bc,True,flag,trade_based,"The SELLER receives a large wire transfer from a buyer alongside small payroll deposits, suggesting the business account is being used for trade-based laundering or commingling funds.",406,55,9.4e-05,True,,0,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""The SELLER receives a large wire transfer from a buyer alongside small payroll deposits, suggesting the business account is being used for trade-based laundering or commingling funds.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-010,benign,,easy,benign:genuine_trade_finance,1383180812,0.0,2026-07-15T17:49:12.225528+00:00,eda66f6c309e69bd,e60d0e00b088ef6f2a36fb14544aeb4537577b060c9810495f9e8005004b06d1,False,no_flag,,"The transactions appear to be standard business payments, including a tax payment and invoice settlements, with no clear indicators of illicit layering or structuring.",409,46,8.9e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions appear to be standard business payments, including a tax payment and invoice settlements, with no clear indicators of illicit layering or structuring.""}"
full,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-011,benign,,easy,benign:genuine_trade_finance,1062469868,0.0,2026-07-15T17:49:12.331246+00:00,909cace55e77432e,0b3f808a722937068ad58dcad5de19a9f2ae8bd58f1d685138f98f437b96026b,True,flag,trade_based,"The circular flow of funds between the buyer and seller via payroll accounts suggests a lack of genuine commercial purpose, characteristic of trade-based money laundering.",408,50,9.1e-05,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""The circular flow of funds between the buyer and seller via payroll accounts suggests a lack of genuine commercial purpose, characteristic of trade-based money laundering.""}"
