subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-003,benign,,easy,benign:genuine_trade_finance,1654290126,0.0,2026-07-15T17:07:10.557497+00:00,5973d00dda1ebc47,0be580070e58a7607c52705bae0410089e0d1608d77a878d8dda220d56359901,False,no_flag,,The transactions represent normal commercial trade and business operations with no indicators of suspicious activity or complex laundering patterns.,364,39,0.000299,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal commercial trade and business operations with no indicators of suspicious activity or complex laundering patterns.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-000,benign,,easy,benign:genuine_trade_finance,1973213412,0.0,2026-07-15T17:07:11.720164+00:00,17f1cf72fae2b15e,4533b835763d3e595d5b6b3ebb8bb382821d0c101d628901c85595f0f83056d2,False,no_flag,,"The transactions represent normal business operations, including a large trade payment, utility bill, and invoice payment, with no indicators of suspicious activity.",364,46,0.00032,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large trade payment, utility bill, and invoice payment, with no indicators of suspicious activity.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T17:07:11.840427+00:00,801d0234a707a90c,f74d8e23a14bd0dcbcb31d1abeb570e403a96a15cf9b3aeea3e48101af3c5e26,False,no_flag,,"The transactions represent normal business operations, including a trade payment via wire, utility bill payment, and standard card settlement with no suspicious patterns.",366,46,0.000321,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a trade payment via wire, utility bill payment, and standard card settlement with no suspicious patterns.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T17:07:12.660678+00:00,8c3bff8632f7a248,c76792fb4d93742951352ff3c5885294b875f7243a2d047ad73d6cc7cb11cbfa,False,no_flag,,"The transactions represent normal business operations, including a trade payment, invoice receipt, and payroll, with no indicators of suspicious activity.",365,46,0.00032,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a trade payment, invoice receipt, and payroll, with no indicators of suspicious activity.""   }"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-005,benign,,easy,benign:genuine_trade_finance,1751529096,0.0,2026-07-15T17:07:13.153647+00:00,521b82f4c8cdd7bf,dcc82625eeccc5c737c213ff07210a45473773628a6149249591863decea3293,False,no_flag,,"The transactions represent normal business operations, including a standard commercial purchase, utility payment, and rent payment, with no indicators of suspicious activity.",361,46,0.000318,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard commercial purchase, utility payment, and rent payment, with no indicators of suspicious activity.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T17:07:14.607270+00:00,b0d249da8fcbaa8d,6c2ad60b1c00d9af84d0c8ea66b73dcf3f1c945b462007358599670bb0533a01,False,no_flag,,"The transactions represent normal business operations, including a standard commercial purchase, a utility bill, and an invoice payment with no indicators of suspicious activity.",364,48,0.000326,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard commercial purchase, a utility bill, and an invoice payment with no indicators of suspicious activity.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-009,benign,,easy,benign:genuine_trade_finance,191638504,0.0,2026-07-15T17:07:15.745971+00:00,98f0c7fc0afa1d72,5358610e284b7ca5a32352e80b62d3e8ef927fc79393fe79612e533b95a892e7,False,no_flag,,"The transactions represent standard business operations, including a large wire payment for goods/services, payroll, and tax payments, with no indicators of suspicious activity.",363,49,0.000329,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent standard business operations, including a large wire payment for goods/services, payroll, and tax payments, with no indicators of suspicious activity.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T17:07:16.650786+00:00,bcf4b1b8e43832b0,e9ac80f44a52ef13c17e08e50a59fc6560407630f6ee3bed9caa2a1b2fe2d012,False,no_flag,,"The transactions represent normal business operations, including a trade payment via wire, payroll, and utility payments, with no indicators of suspicious activity.",364,46,0.00032,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a trade payment via wire, payroll, and utility payments, with no indicators of suspicious activity.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T17:07:17.640689+00:00,594516da298852de,e7db9bdb3c25b8901cf9ecb441121198c017d3cad3c873a0f002885ffd57ea84,False,no_flag,,"The transactions represent normal business operations, including a large trade payment, a standard invoice payment, and a payroll deposit, with no suspicious patterns.",366,49,0.00033,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large trade payment, a standard invoice payment, and a payroll deposit, with no suspicious patterns.""   }"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-010,benign,,easy,benign:genuine_trade_finance,1931149406,0.0,2026-07-15T17:07:17.663884+00:00,0944835f68bf2cf8,d3d86595450d614f579eec8200e3e04f9e1977d23d0c9f246b6138c92df3c1b8,False,no_flag,,"The transactions represent normal business operations, including tax payments, invoice payments, and a standard wire transfer between verified business accounts with no red flags.",366,48,0.000327,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including tax payments, invoice payments, and a standard wire transfer between verified business accounts with no red flags.""}"
