subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T15:18:52.509547+00:00,77cbded8563008e9,325e907ff9982eed83aa5afb8e12bd2b70ee4ccdd37a96cbd8a7519b5b863e8f,False,no_flag,,"Transactions appear consistent with legitimate business activity; no layering, structuring, or other typologies evident.",379,39,0.000214,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with legitimate business activity; no layering, structuring, or other typologies evident.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T15:18:52.514194+00:00,296575e84ce24cb9,08bba4f9aac200d26749436abead3acc17a24a3ac9aba8ab7010497ac521341a,False,no_flag,,Transactions appear consistent with business operations; no layering or structuring patterns detected.,381,34,0.000207,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T15:18:52.524018+00:00,93e9774ac474aad3,eced71a4ba93e9e1939c6329bdff6af5313957e3de8fe2153aafd24d4fd2bb36,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies detected.",384,38,0.000214,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T15:18:52.554643+00:00,2e86178d41999a79,2366c8e4cb179d95d7aba0b259d0177e662f751a4babfa9b834d4d898c313e14,False,no_flag,,"Transactions appear consistent with business activity; no layering, structuring, or rapid pass-through patterns detected.",384,39,0.000216,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business activity; no layering, structuring, or rapid pass-through patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T15:18:52.886786+00:00,8501676beac6c170,325e907ff9982eed83aa5afb8e12bd2b70ee4ccdd37a96cbd8a7519b5b863e8f,False,no_flag,,"Transactions appear consistent with legitimate business activity; no layering, structuring, or other typologies evident.",379,39,0.000214,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with legitimate business activity; no layering, structuring, or other typologies evident.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T15:18:53.713839+00:00,971b8f0f88eb5146,431b0a89d23a62acff0f43a95b190b5cfe1c89b3b4f25b80ad6580f34f277784,False,no_flag,,"Transactions appear consistent with legitimate business and personal payments; no clear layering, structuring, or other typologies detected.",649,42,0.000327,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with legitimate business and personal payments; no clear layering, structuring, or other typologies detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T15:18:53.782305+00:00,23189abad41fdab9,8683912b092f1f8cb9cffe80815ac10b4b485c87439feeae6d96f1a61e2d1358,True,flag,trade_based,Large wire from US buyer to DE seller with multiple small rent and utility payments suggests layering via trade-based laundering.,657,43,0.000332,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large wire from US buyer to DE seller with multiple small rent and utility payments suggests layering via trade-based laundering.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T15:18:53.898127+00:00,e0de604c7424ba86,7b5fcb5eb432e97bb287e804b44cfbffc8a2f492b52fde140c003e3d79a87b45,False,no_flag,,"Transactions appear consistent with business activities; no clear layering, structuring, or other typologies detected.",656,39,0.000325,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business activities; no clear layering, structuring, or other typologies detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T15:18:54.217201+00:00,ad201ee1a8262178,42d67c0ee5fec7a2ac432ec392ddcffc7c0f7a31b5530579c660d3d13ee1f6f4,True,flag,trade_based,Large cross-border wire with multiple small payments and card settlements suggests possible trade-based layering to obscure fund origins.,502,42,0.000268,True,,0,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large cross-border wire with multiple small payments and card settlements suggests possible trade-based layering to obscure fund origins.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T15:18:54.596124+00:00,7d3108467c28f478,14dbb1dd33719e855d8606ad39315b0ebb8a8b865961286402a189fb77f12b4d,True,flag,layering,Multiple small rent and tax payments between related parties suggest layering to obscure origin of large wire transfer.,654,40,0.000326,True,,2,"{""suspicious"": true, ""typology"": ""layering"", ""rationale"": ""Multiple small rent and tax payments between related parties suggest layering to obscure origin of large wire transfer.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-m-002,benign,,medium,benign:genuine_trade_finance,396810015,0.0,2026-07-15T15:18:54.817916+00:00,671e35b139c5c6b2,4f33eb89eab406d3e9bc33359100641aedf30fae91c556020e59cf8277cfe465,False,no_flag,,Transactions align with typical business and personal payments; no layering or structuring patterns detected.,495,36,0.000256,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business and personal payments; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,275787065,0.0,2026-07-15T15:18:54.980556+00:00,bb56a78303f2c650,ea078d2b7e7d9115d6efa0a8824b7761036f3aa4abd53cffe9d08048e7ee640c,False,no_flag,,"Transactions appear consistent with business and property activities; no layering, structuring, or trade-based laundering indicators detected.",498,41,0.000265,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business and property activities; no layering, structuring, or trade-based laundering indicators detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-m-011,benign,,medium,benign:genuine_trade_finance,1758447072,0.0,2026-07-15T15:18:55.133592+00:00,eed35a8a3ab79ef8,73b50665490cf2a23b02880446d08587781286b04f4018133d3a541f5440f6d2,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.",500,38,0.000261,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-m-012,benign,,medium,benign:genuine_trade_finance,956623152,0.0,2026-07-15T15:18:55.259214+00:00,78d05f7b47ffbf61,2bacf53f9d15dacff1acd81d6a58a0c11a857d4b41a38f20c3e6041a0786fd9c,False,no_flag,,Transactions appear consistent with business operations and tax payments; no layering or structuring patterns detected.,498,37,0.000258,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations and tax payments; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-m-013,benign,,medium,benign:genuine_trade_finance,2103318664,0.0,2026-07-15T15:18:55.714788+00:00,151f653b1c57ba17,6ca762219459bb92abcfbf8af0a504c36062ac0dffa47d493e5043d612c36af8,False,no_flag,,Transactions appear consistent with normal business operations and verified KYC; no layering or structuring patterns detected.,503,39,0.000264,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with normal business operations and verified KYC; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-e-000,benign,,easy,benign:loan_disbursement,771326158,0.0,2026-07-15T15:18:56.168775+00:00,b5c3682cba9b3939,c4d9a7d497cfbf991bddc48e9116441141bac7d2de2aef993e1a16bbc1a08fa0,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or rapid pass-through patterns detected.",407,39,0.000225,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or rapid pass-through patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-e-002,benign,,easy,benign:loan_disbursement,1697661715,0.0,2026-07-15T15:18:56.179882+00:00,d894ebea637951cf,496d6c049547a67ba8581e2b84ec71920d5e87c89fa46834e61a4d534466d4c5,False,no_flag,,Transactions appear consistent with business operations and rent payments; no layering or structuring patterns detected.,408,37,0.000222,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations and rent payments; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-e-006,benign,,easy,benign:loan_disbursement,1868069804,0.0,2026-07-15T15:18:56.224620+00:00,da260fba75eaa0eb,73b50665490cf2a23b02880446d08587781286b04f4018133d3a541f5440f6d2,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.",411,38,0.000225,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-e-008,benign,,easy,benign:loan_disbursement,1409372505,0.0,2026-07-15T15:18:56.375331+00:00,481ab2744b8d966d,d4b4a3f5aaee8f405f92079fd9517e56e2324f280a58ead04def522cd93af3c8,False,no_flag,,"Transactions align with normal business activities; no layering, structuring, or other typologies evident.",408,38,0.000224,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with normal business activities; no layering, structuring, or other typologies evident.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-e-011,benign,,easy,benign:loan_disbursement,1107894842,0.0,2026-07-15T15:18:57.347458+00:00,9e3e34bbb2c3a96e,af6fb33fa66eef9c6b1a0e87e50b4ebf8cbf1aef2ef39bc6dd097f36a52ab112,False,no_flag,,Transactions align with typical business and utility payments; no layering or structuring patterns detected.,407,36,0.00022,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business and utility payments; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-h-005,benign,,hard,benign:loan_disbursement,692673109,0.0,2026-07-15T15:18:57.418140+00:00,59b792d4e58e7638,f45db019c9c8cc316ed3c5348e4bbb6124d778363d413890c353c4255d4dc4a5,False,no_flag,,"Transactions appear consistent with business operations; no clear layering, structuring, or mule network patterns detected.",692,39,0.000339,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no clear layering, structuring, or mule network patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-h-004,benign,,hard,benign:loan_disbursement,675396609,0.0,2026-07-15T15:18:57.427961+00:00,26345bb41222cc15,d433bda8b78710b46a922b6ce69d1277757850414f19f7ec7d0f3f5cd9f23886,True,flag,layering,Multiple rent payments and returns with payroll and card settlements suggest complex layering to obscure fund origins.,695,39,0.00034,True,,0,"{""suspicious"": true, ""typology"": ""layering"", ""rationale"": ""Multiple rent payments and returns with payroll and card settlements suggest complex layering to obscure fund origins.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-h-000,benign,,hard,benign:loan_disbursement,1330550275,0.0,2026-07-15T15:18:57.691940+00:00,bc908526e2946009,590c7744c2ea8bccf976ae1d4574973e499a8554ce3fcd5d06a0aa23d05e7623,False,no_flag,,"Transactions align with normal business and tax activities; no layering, structuring, or other typologies evident.",700,40,0.000344,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with normal business and tax activities; no layering, structuring, or other typologies evident.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-h-009,benign,,hard,benign:loan_disbursement,469291915,0.0,2026-07-15T15:18:57.856100+00:00,71997c16ddfd5654,b7cc82e91932ad2d60945e18ecddb845e7e17ac05fe7db3dcceff3847983fba9,False,no_flag,,"Transactions appear consistent with business operations; no clear layering, structuring, or other typologies detected.",701,39,0.000343,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no clear layering, structuring, or other typologies detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-m-005,benign,,medium,benign:loan_disbursement,1715535027,0.0,2026-07-15T15:18:58.416837+00:00,7b108a66fcf37751,73b50665490cf2a23b02880446d08587781286b04f4018133d3a541f5440f6d2,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.",535,38,0.000275,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-m-006,benign,,medium,benign:loan_disbursement,222530265,0.0,2026-07-15T15:18:58.529318+00:00,25300ee9e337478d,18528b01d4658041e86dd17b372589997f3f98d9bf8cfd1602baf96d90d65b24,False,no_flag,,"Transactions align with normal business and utility payments; no layering, structuring, or other typologies evident.",525,40,0.000274,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with normal business and utility payments; no layering, structuring, or other typologies evident.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-loan_disbursement-m-008,benign,,medium,benign:loan_disbursement,1289971357,0.0,2026-07-15T15:18:58.693361+00:00,9f8624d08c616756,b7cc82e91932ad2d60945e18ecddb845e7e17ac05fe7db3dcceff3847983fba9,False,no_flag,,"Transactions appear consistent with business operations; no clear layering, structuring, or other typologies detected.",534,39,0.000276,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no clear layering, structuring, or other typologies detected.""}"
