subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T15:31:45.252753+00:00,296575e84ce24cb9,1427ebf98f1316277cb2b028c6f8f579dd37ce92e6a6870e3a9334e52f6e25b7,False,no_flag,,"The transactions represent normal business operations, including a standard commercial wire, payroll, and utility payments, with no indicators of suspicious laundering typologies.",407,48,0.000348,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard commercial wire, payroll, and utility payments, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T15:31:50.705030+00:00,93e9774ac474aad3,70dcda5dbf0c8af5bcb96df67629edbb8fd5ddf3b269e05dc8fc84ef2b398d52,False,no_flag,,"The transactions represent normal business operations, including a standard commercial purchase, invoice payment, and payroll, with no indicators of suspicious laundering typologies.",408,48,0.000348,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard commercial purchase, invoice payment, and payroll, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T15:31:52.996826+00:00,2e86178d41999a79,adde346909e6934bb97523ebb2d0a923547e697cc5e1e18e998d603a711872bd,False,no_flag,,"The transactions represent normal business operations, including a large wire payment, invoice settlement, and payroll, with no indicators of suspicious laundering typologies.",409,48,0.000349,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large wire payment, invoice settlement, and payroll, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T15:31:52.999863+00:00,8501676beac6c170,7da895cd421b886b0960681ba639bf2f3e8e3dda386b06bc9b4d4412df78fc11,False,no_flag,,"The transactions represent normal business operations, including a standard wire transfer, utility payment, and card settlement, with no indicators of suspicious laundering typologies.",409,48,0.000349,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard wire transfer, utility payment, and card settlement, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T15:31:58.379908+00:00,971b8f0f88eb5146,802f1f124d1c54f593f8c186830d6f4102f2122c87d2de2a971c071412cad531,False,no_flag,,"The transactions represent normal business operations, including a trade payment, utility bills, rent, and tax payments, with no indicators of suspicious laundering typologies.",730,49,0.000512,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a trade payment, utility bills, rent, and tax payments, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T15:32:02.456692+00:00,ad201ee1a8262178,23c453b82e328347690c13d8c40fbb1fae5644fa0251ff51c7aa574170231ffb,False,no_flag,,"The transactions represent normal commercial trade and business operations with no indicators of structuring, rapid pass-through, or other money laundering typologies.",553,46,0.000414,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal commercial trade and business operations with no indicators of structuring, rapid pass-through, or other money laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T15:32:02.459900+00:00,77cbded8563008e9,b54abea0669bf9ed94673dea2361880bc95648983662834bb89b29810f45fa96,False,no_flag,,"The transactions represent normal business operations, including a standard trade payment, utility billing, and invoice settlement, with no indicators of suspicious activity.",407,46,0.000342,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard trade payment, utility billing, and invoice settlement, with no indicators of suspicious activity.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T15:32:02.463108+00:00,23189abad41fdab9,fa72da1ca335ff74eefb96701240ece4ebb34f4373618b6b54d62f1989da711c,False,no_flag,,"The transactions represent normal business operations, including card settlements, rent, payroll, and a standard commercial wire transfer between verified business entities.",735,48,0.000512,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including card settlements, rent, payroll, and a standard commercial wire transfer between verified business entities.""   }"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-002,benign,,medium,benign:genuine_trade_finance,396810015,0.0,2026-07-15T15:32:04.078050+00:00,671e35b139c5c6b2,2bda9f79a28c2be18a00d006539427c3e2daca73cf5a1e850eeb1b2f2f86a83f,False,no_flag,,"The transactions represent normal business operations, including a trade payment, rent, utilities, and tax payments, with no indicators of suspicious laundering typologies.",547,48,0.000418,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a trade payment, rent, utilities, and tax payments, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-012,benign,,medium,benign:genuine_trade_finance,956623152,0.0,2026-07-15T15:32:05.139203+00:00,78d05f7b47ffbf61,be901626b1940d61c9f7934d2d08349af940591217f043b668f9a1f52e2c582d,False,no_flag,,"The transactions represent normal business operations, including tax payments, utility bills, and standard invoice payments, with no indicators of suspicious laundering typologies.",547,48,0.000418,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including tax payments, utility bills, and standard invoice payments, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-013,benign,,medium,benign:genuine_trade_finance,2103318664,0.0,2026-07-15T15:32:06.416714+00:00,151f653b1c57ba17,aee931157bb4d462ed2bb2d8670c0a74f1aa0c95f92ff71e78685a730db7438d,False,no_flag,,"Transactions represent normal business operations, including trade payments, tax payments, utilities, and payroll, with no indicators of suspicious laundering typologies.",549,46,0.000412,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""Transactions represent normal business operations, including trade payments, tax payments, utilities, and payroll, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,275787065,0.0,2026-07-15T15:32:08.387704+00:00,bb56a78303f2c650,46945ae576ed22f46e36385e6539470ba3359ba7c1be19f362871ba0020ae223,False,no_flag,,"The transactions represent normal business operations, including a trade payment via letter of credit, rent, tax, and vendor payments with no suspicious patterns.",547,48,0.000418,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a trade payment via letter of credit, rent, tax, and vendor payments with no suspicious patterns.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T15:32:08.390388+00:00,e0de604c7424ba86,b314b0477fab0801b0a8b3e288a85797db58610f7602a8c87e9989bb88e4048e,False,no_flag,,"The transactions represent normal business operations, including rent, payroll, tax payments, and a standard commercial wire transfer between verified business accounts.",732,45,0.000501,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including rent, payroll, tax payments, and a standard commercial wire transfer between verified business accounts.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-e-002,benign,,easy,benign:loan_disbursement,1697661715,0.0,2026-07-15T15:32:10.346151+00:00,d894ebea637951cf,1630cb92cc7b0dd07125b91da75f11e3d97daa6fc661c73df48d8ff5a941e0d7,False,no_flag,,"The transactions represent standard business operations, including a bank loan disbursement, equipment purchase, and routine rent payments with no indicators of suspicious activity.",442,46,0.000359,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent standard business operations, including a bank loan disbursement, equipment purchase, and routine rent payments with no indicators of suspicious activity.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-e-000,benign,,easy,benign:loan_disbursement,771326158,0.0,2026-07-15T15:32:13.356093+00:00,b5c3682cba9b3939,97407312e8b845cdd7dac6b9ccb88032c9447d7092dfdb8838747d717fad7ee7,False,no_flag,,"The transactions represent normal business operations, including a standard bank loan disbursement, equipment vendor payment, and routine utility and card settlements.",438,44,0.000351,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard bank loan disbursement, equipment vendor payment, and routine utility and card settlements.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-e-006,benign,,easy,benign:loan_disbursement,1868069804,0.0,2026-07-15T15:32:13.409513+00:00,da260fba75eaa0eb,d9ce9dbb7076e15dfd023cba4ea1db09f6be9127e76608ae0161f8059b41b518,False,no_flag,,"The transactions represent normal business operations, including a bank loan disbursement, vendor payment, tax settlement, and standard card processing with no suspicious patterns.",443,48,0.000365,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a bank loan disbursement, vendor payment, tax settlement, and standard card processing with no suspicious patterns.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T15:32:14.025729+00:00,7d3108467c28f478,7ade15e00aff0113078b4318ebcaa78975e599644b52a1021c9d78ac7d679175,False,no_flag,,"The transactions represent normal business operations, including trade payments, payroll, rent, and tax settlements, with no indicators of suspicious laundering typologies.",732,48,0.00051,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including trade payments, payroll, rent, and tax settlements, with no indicators of suspicious laundering typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-h-004,benign,,hard,benign:loan_disbursement,675396609,0.0,2026-07-15T15:32:15.562025+00:00,26345bb41222cc15,f6f5fb2a9d1d6807287bfd116a90e5148131e58166a1cd42f4efe6020c56ee0b,False,no_flag,,"The transactions represent normal business operations, including loan disbursement, vendor payments, payroll, rent, and card settlements, with no indicators of suspicious typologies.",773,49,0.000534,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including loan disbursement, vendor payments, payroll, rent, and card settlements, with no indicators of suspicious typologies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-h-005,benign,,hard,benign:loan_disbursement,692673109,0.0,2026-07-15T15:32:19.965898+00:00,59b792d4e58e7638,8d16ddb48704bb62c9e7b663980e6ad96c9753728e90234914f3ef23698105ab,False,no_flag,,"The transactions represent normal business operations, including a bank loan, equipment vendor payments, utility bills, tax payments, and standard invoice settlements with no suspicious patterns.",771,50,0.000535,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a bank loan, equipment vendor payments, utility bills, tax payments, and standard invoice settlements with no suspicious patterns.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-e-008,benign,,easy,benign:loan_disbursement,1409372505,0.0,2026-07-15T15:32:20.478988+00:00,481ab2744b8d966d,a54500e4f99e7c17279c5535ec90bf24e3f94ac45a0db04ffbd5826a22fc7021,False,no_flag,,"Normal business activity: borrower received a commercial loan and paid an equipment vendor, followed by standard utility and rent-related transactions.",439,44,0.000352,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""Normal business activity: borrower received a commercial loan and paid an equipment vendor, followed by standard utility and rent-related transactions.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-011,benign,,medium,benign:genuine_trade_finance,1758447072,0.0,2026-07-15T15:32:20.490368+00:00,eed35a8a3ab79ef8,9251f7181c192a650e476ffdc508b244ba3a26a196f2ec7dd5cde61a8f581315,False,no_flag,,"The transactions represent normal business operations, including a large commercial purchase, rent, tax payments, payroll, and utility bills, with no indicators of suspicious activity.",548,50,0.000424,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large commercial purchase, rent, tax payments, payroll, and utility bills, with no indicators of suspicious activity.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-h-009,benign,,hard,benign:loan_disbursement,469291915,0.0,2026-07-15T15:32:21.297410+00:00,71997c16ddfd5654,908e5ea3b1188d24211b219e839d8a832889166ec8249c678cb1cf0fc243cf6d,False,no_flag,,"The transactions represent normal business operations, including a bank loan disbursement, subsequent vendor payment, payroll, rent, and utility payments with no suspicious patterns.",778,48,0.000533,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a bank loan disbursement, subsequent vendor payment, payroll, rent, and utility payments with no suspicious patterns.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-m-007,benign,,medium,benign:loan_disbursement,69321426,0.0,2026-07-15T15:32:23.140688+00:00,9219a185c3dcad12,25925f78eb9522008ec37f8d9009f962b4f636f4e8d1d4e4ad7003e1ee5c70ee,False,no_flag,,"The transactions represent normal business operations, including a bank loan disbursement immediately used to pay an equipment vendor, alongside standard payroll and invoice payments.",588,46,0.000432,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a bank loan disbursement immediately used to pay an equipment vendor, alongside standard payroll and invoice payments.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-m-006,benign,,medium,benign:loan_disbursement,222530265,0.0,2026-07-15T15:32:25.274933+00:00,25300ee9e337478d,53c5dc843fdbfb997eedc5b0eccf387fd944fea99f561d677ff153ea7f2ddda0,False,no_flag,,"The transactions represent normal business operations, including a commercial loan disbursement, equipment purchase, and standard utility and rent payments with no suspicious patterns.",577,46,0.000427,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a commercial loan disbursement, equipment purchase, and standard utility and rent payments with no suspicious patterns.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-m-005,benign,,medium,benign:loan_disbursement,1715535027,0.0,2026-07-15T15:32:25.342210+00:00,7b108a66fcf37751,0d1bca431ac22a76a4df4cea4c50cee13c7a7280b07e01e99b53f49091d69d8d,False,no_flag,,"The transactions represent normal business operations, including a legitimate bank loan, vendor payment for equipment, card settlements, and standard utility and tax payments.",592,48,0.00044,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a legitimate bank loan, vendor payment for equipment, card settlements, and standard utility and tax payments.""}"
