subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-000,benign,,easy,benign:genuine_trade_finance,486667293,0.0,2026-07-15T17:24:52.558079+00:00,2080a4a371d60bb3,c9a3ce31846b7f0164be8ca6f4f16e0f832b883d3527d19b623f02c0d1a8175b,False,no_flag,,"The transactions represent normal business operations, including a large trade payment via wire, utility bills, and standard invoice payments with no indicators of suspicious typologies.",407,49,0.000351,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large trade payment via wire, utility bills, and standard invoice payments with no indicators of suspicious typologies.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-003,benign,,easy,benign:genuine_trade_finance,1539897894,0.0,2026-07-15T17:24:54.876558+00:00,137074361055bff9,14542bb4a662877f40b265021d0614b6896b9115b9950a69a357c35a037a8cc6,False,no_flag,,"The transactions represent normal business operations, including a large trade payment via wire, invoice payments, and rent, with no indicators of suspicious typologies.",407,48,0.000348,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large trade payment via wire, invoice payments, and rent, with no indicators of suspicious typologies.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T17:24:54.945232+00:00,2e86178d41999a79,257c16a1a4133c943e30b230bc4f191464ded90541d49ca459d8e8d407d77be5,False,no_flag,,"The transactions represent normal business operations, including a large wire payment, an invoice payment, and payroll, with no indicators of suspicious typologies.",409,48,0.000349,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large wire payment, an invoice payment, and payroll, with no indicators of suspicious typologies.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T17:24:55.502135+00:00,93e9774ac474aad3,70dcda5dbf0c8af5bcb96df67629edbb8fd5ddf3b269e05dc8fc84ef2b398d52,False,no_flag,,"The transactions represent normal business operations, including a standard commercial purchase, invoice payment, and payroll, with no indicators of suspicious laundering typologies.",408,48,0.000348,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard commercial purchase, invoice payment, and payroll, with no indicators of suspicious laundering typologies.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-005,benign,,easy,benign:genuine_trade_finance,163290746,0.0,2026-07-15T17:24:56.147487+00:00,9680a15f562d844c,2b98dfcc6d30408ad578c68f0ba2c963b01eb09c0b72fb4e17fb6b29a289271b,False,no_flag,,"The transactions represent normal business operations, including a standard wire transfer, utility payment, and rent refund, with no indicators of illicit typologies.",404,48,0.000346,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard wire transfer, utility payment, and rent refund, with no indicators of illicit typologies.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T17:24:56.533167+00:00,8501676beac6c170,7da895cd421b886b0960681ba639bf2f3e8e3dda386b06bc9b4d4412df78fc11,False,no_flag,,"The transactions represent normal business operations, including a standard wire transfer, utility payment, and card settlement, with no indicators of suspicious laundering typologies.",409,48,0.000349,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard wire transfer, utility payment, and card settlement, with no indicators of suspicious laundering typologies.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-007,benign,,easy,benign:genuine_trade_finance,874569540,0.0,2026-07-15T17:24:57.988853+00:00,d72b9294f732b3bf,7b5dc5821d90cee2a5100087e1b7ba596bb28114b4ff3d256cfb041ac60e4add,False,no_flag,,"The transactions represent normal business operations, including a large trade payment followed by standard, delayed invoice and payroll payments.",409,43,0.000334,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large trade payment followed by standard, delayed invoice and payroll payments.""   }"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T17:24:58.874861+00:00,296575e84ce24cb9,1427ebf98f1316277cb2b028c6f8f579dd37ce92e6a6870e3a9334e52f6e25b7,False,no_flag,,"The transactions represent normal business operations, including a standard commercial wire, payroll, and utility payments, with no indicators of suspicious laundering typologies.",407,48,0.000348,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard commercial wire, payroll, and utility payments, with no indicators of suspicious laundering typologies.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-010,benign,,easy,benign:genuine_trade_finance,1383180812,0.0,2026-07-15T17:24:59.279749+00:00,eda66f6c309e69bd,694ca6d42f1ea7724945029981581019e2eaeb636708276b50da5e025799fc03,False,no_flag,,"The transactions represent normal business operations, including tax and invoice payments, with no indicators of suspicious activity or laundering typologies.",409,43,0.000334,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including tax and invoice payments, with no indicators of suspicious activity or laundering typologies.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T17:24:59.658332+00:00,77cbded8563008e9,b54abea0669bf9ed94673dea2361880bc95648983662834bb89b29810f45fa96,False,no_flag,,"The transactions represent normal business operations, including a standard trade payment, utility billing, and invoice settlement, with no indicators of suspicious activity.",407,46,0.000342,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a standard trade payment, utility billing, and invoice settlement, with no indicators of suspicious activity.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-009,benign,,easy,benign:genuine_trade_finance,1835733354,0.0,2026-07-15T17:25:00.084635+00:00,7cc8ac930aae83b5,53c050522ad08ebb42fa4e8a11a4ca4f35a5cedcd9a73887ec993bbe94d30ad1,False,no_flag,,"The transactions represent normal business operations, including payroll, tax payments, and a standard commercial wire transfer between verified business entities.",406,45,0.000338,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including payroll, tax payments, and a standard commercial wire transfer between verified business entities.""   }"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T17:25:01.400681+00:00,23189abad41fdab9,fa72da1ca335ff74eefb96701240ece4ebb34f4373618b6b54d62f1989da711c,False,no_flag,,"The transactions represent normal business operations, including card settlements, rent, payroll, and a standard commercial wire transfer between verified business entities.",735,48,0.000512,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including card settlements, rent, payroll, and a standard commercial wire transfer between verified business entities.""   }"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-002,benign,,hard,benign:genuine_trade_finance,1181958791,0.0,2026-07-15T17:25:01.410269+00:00,7192b244be5381de,5697b0b71fad06e712a5dfb81db02d777c107257d28cca9744f0b2b0ea5dc24e,False,no_flag,,"The transactions represent normal business operations, payroll, and utility payments with no indicators of illicit typologies or suspicious patterns.",737,42,0.000495,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, payroll, and utility payments with no indicators of illicit typologies or suspicious patterns.""}"
full,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-004,benign,,hard,benign:genuine_trade_finance,58631848,0.0,2026-07-15T17:25:03.817743+00:00,bdf6f609fda4aa71,df25a6c8e4ea36b60acf1ff6725493d553814be009a1efc82e1628abca234aa5,False,no_flag,,"The transactions represent normal business operations, including a large trade payment, rent, utilities, taxes, and card settlements, with no indicators of suspicious typologies.",737,50,0.000519,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transactions represent normal business operations, including a large trade payment, rent, utilities, taxes, and card settlements, with no indicators of suspicious typologies.""}"
