subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T18:55:07.360681+00:00,8501676beac6c170,3dc714cc83a1e3cb162fd85422dfca7d53897a869b9b21f80c37a49d5b4a3883,False,no_flag,,Transactions appear consistent with trade and utility payments; no layering or structuring indicators detected.,379,36,0.000209,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with trade and utility payments; no layering or structuring indicators detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-003,benign,,easy,benign:genuine_trade_finance,1539897894,0.0,2026-07-15T18:55:07.362776+00:00,137074361055bff9,73b50665490cf2a23b02880446d08587781286b04f4018133d3a541f5440f6d2,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.",379,38,0.000212,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T18:55:07.487122+00:00,93e9774ac474aad3,73b50665490cf2a23b02880446d08587781286b04f4018133d3a541f5440f6d2,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.",384,38,0.000214,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-000,benign,,easy,benign:genuine_trade_finance,486667293,0.0,2026-07-15T18:55:07.503324+00:00,2080a4a371d60bb3,184ca76cf71de6e6e2e221c0bacf63830bd7dd2b3288b2aca42330c5d5fa43be,False,no_flag,,"Transactions appear consistent with business activity; no layering, structuring, or other typologies evident.",379,38,0.000212,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business activity; no layering, structuring, or other typologies evident.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T18:55:08.241857+00:00,2e86178d41999a79,73b50665490cf2a23b02880446d08587781286b04f4018133d3a541f5440f6d2,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.",384,38,0.000214,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-005,benign,,easy,benign:genuine_trade_finance,163290746,0.0,2026-07-15T18:55:08.457543+00:00,9680a15f562d844c,610adc41fb4b64b459bd764bd56aef06b708e8d2db57d2864979ff8a199789bd,False,no_flag,,Transactions appear consistent with legitimate business and personal payments; no layering or structuring patterns detected.,376,37,0.00021,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with legitimate business and personal payments; no layering or structuring patterns detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-007,benign,,easy,benign:genuine_trade_finance,874569540,0.0,2026-07-15T18:55:08.782752+00:00,d72b9294f732b3bf,e52197165c2554af61032a4a9cdbadedc9cda3d104f0fac861954ef8851f75b2,False,no_flag,,Transactions align with legitimate trade and payroll activities; no layering or structuring patterns detected.,384,36,0.000211,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with legitimate trade and payroll activities; no layering or structuring patterns detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T18:55:09.534457+00:00,296575e84ce24cb9,73b50665490cf2a23b02880446d08587781286b04f4018133d3a541f5440f6d2,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.",381,38,0.000213,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T18:55:09.635092+00:00,77cbded8563008e9,de4d059227573ba3f946f73b099b1909f9e3f3b9671a3fa2a68fbb8a6f4e13e6,False,no_flag,,Transactions appear consistent with trade payments and utility bills; no layering or structuring patterns detected.,379,37,0.000211,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with trade payments and utility bills; no layering or structuring patterns detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-009,benign,,easy,benign:genuine_trade_finance,1835733354,0.0,2026-07-15T18:55:09.774866+00:00,7cc8ac930aae83b5,a1e6deaaf672d97d4a1cfd9aac47aa8d91c05773da1c1136f20c262ef551ee2c,False,no_flag,,"Transactions align with typical business and tax activities; no layering, structuring, or other typologies evident.",381,40,0.000216,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business and tax activities; no layering, structuring, or other typologies evident.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-010,benign,,easy,benign:genuine_trade_finance,1383180812,0.0,2026-07-15T18:55:09.842345+00:00,eda66f6c309e69bd,79555f4365211cf26b5baa685628ef51c0b6c5b8d4a3fa07389691e4067760d0,False,no_flag,,"Transactions align with typical business activities; no layering, structuring, or other typologies evident.",381,38,0.000213,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business activities; no layering, structuring, or other typologies evident.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-000,benign,,hard,benign:genuine_trade_finance,1294707678,0.0,2026-07-15T18:55:10.712082+00:00,57b58ad6cb43e52d,3c1031c905f88819512e4d35e2859f4d4273a4381599846dce16deeae17d0be2,True,flag,trade_based,Large wire from US buyer to DE seller with multiple small rent and tax payments suggests layering via trade and property payments.,652,44,0.000331,True,,0,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large wire from US buyer to DE seller with multiple small rent and tax payments suggests layering via trade and property payments.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-e-011,benign,,easy,benign:genuine_trade_finance,1062469868,0.0,2026-07-15T18:55:10.717192+00:00,909cace55e77432e,00b097a13403ffce845e73b7df42d18d6a4efc7552549490fd95f02108010cef,True,flag,trade_based,High-value wire from US buyer to DE seller with small payroll transfers cycling funds suggests trade-based layering.,386,41,0.00022,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""High-value wire from US buyer to DE seller with small payroll transfers cycling funds suggests trade-based layering.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T18:55:10.861824+00:00,23189abad41fdab9,f0f9c7cb14f4349311105d68dc5195b4007a2e25b202f47edbd669b6a908a44d,True,flag,trade_based,Large wire from US buyer to DE seller with multiple small unrelated inflows to buyer suggests layering via trade-based laundering.,657,44,0.000333,True,,1,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large wire from US buyer to DE seller with multiple small unrelated inflows to buyer suggests layering via trade-based laundering.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-002,benign,,hard,benign:genuine_trade_finance,1181958791,0.0,2026-07-15T18:55:10.896747+00:00,7192b244be5381de,c39b0861d8aa79c6b24391779859dd44a41a5f80bea9cb91a24ad5c71df83b49,True,flag,trade_based,Large wire from buyer to seller with smaller invoice and card payments suggests possible trade-based layering.,665,39,0.000328,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large wire from buyer to seller with smaller invoice and card payments suggests possible trade-based layering.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-003,benign,,hard,benign:genuine_trade_finance,356558776,0.0,2026-07-15T18:55:11.801420+00:00,1bde05ece6864dbd,c47f8ed12fc5c01bb0f0d0e59418fc6813ca8cff20f5630dcfdfb693ff31ba07,False,no_flag,,"Transactions align with typical business operations; no signs of layering, structuring, or other laundering typologies detected.",660,41,0.00033,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business operations; no signs of layering, structuring, or other laundering typologies detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-005,benign,,hard,benign:genuine_trade_finance,1769070098,0.0,2026-07-15T18:55:11.902314+00:00,cd55ad243099f932,2bacf53f9d15dacff1acd81d6a58a0c11a857d4b41a38f20c3e6041a0786fd9c,False,no_flag,,Transactions appear consistent with business operations and tax payments; no layering or structuring patterns detected.,658,37,0.000322,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations and tax payments; no layering or structuring patterns detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-004,benign,,hard,benign:genuine_trade_finance,58631848,0.0,2026-07-15T18:55:12.031565+00:00,bdf6f609fda4aa71,93e2ad3399c1df6d5df5fcf13c613279833518ce8238baad91a1075f1792e1e8,True,flag,trade_based,Large cross-border payment via letter of credit with multiple small related payments suggests trade-based layering activity.,657,40,0.000327,True,,1,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large cross-border payment via letter of credit with multiple small related payments suggests trade-based layering activity.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T18:55:12.359648+00:00,971b8f0f88eb5146,431b0a89d23a62acff0f43a95b190b5cfe1c89b3b4f25b80ad6580f34f277784,False,no_flag,,"Transactions appear consistent with legitimate business and personal payments; no clear layering, structuring, or other typologies detected.",649,42,0.000327,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with legitimate business and personal payments; no clear layering, structuring, or other typologies detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T18:55:12.958328+00:00,e0de604c7424ba86,73b50665490cf2a23b02880446d08587781286b04f4018133d3a541f5440f6d2,False,no_flag,,"Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.",656,38,0.000323,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no layering, structuring, or other typologies evident.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-009,benign,,hard,benign:genuine_trade_finance,1086802388,0.0,2026-07-15T18:55:13.189157+00:00,ad3cb15530200178,a4b68025cbb408f900829ca71460e2076459faca8d3ea1146cfde10ddf787a68,False,no_flag,,"Transactions align with typical business and tax activities; no layering, structuring, or other laundering patterns detected.",654,40,0.000326,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business and tax activities; no layering, structuring, or other laundering patterns detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-h-007,benign,,hard,benign:genuine_trade_finance,417989811,0.0,2026-07-15T18:55:13.399667+00:00,0b05e6808ed58ab3,88b310c5057dfb5b36d5b8852d5a1d9352523550b6308905b66d204e86fe1316,False,no_flag,,Transactions appear consistent with normal business operations and tax payments; no layering or structuring patterns detected.,658,38,0.000324,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with normal business operations and tax payments; no layering or structuring patterns detected.""}"
full,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T18:55:14.016519+00:00,ad201ee1a8262178,714917ea05c227f3c2b47fbcd33537089c30c70566e4f7c4305f182b2150cf61,True,flag,trade_based,Large cross-border payment via letter of credit with multiple small downstream payments suggests trade-based layering activity.,502,40,0.000265,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""Large cross-border payment via letter of credit with multiple small downstream payments suggests trade-based layering activity.""}"
