subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T15:45:00.971642+00:00,801d0234a707a90c,506403689a4ebd71cb7944cb2a5ccc3141bb5395f0d08b81b3f4b0401aebc6b0,False,no_flag,,"The transaction volume is consistent with standard business operations, and the flows between the buyer, seller, and utility provider appear to be legitimate commercial activity.",366,48,8.4e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is consistent with standard business operations, and the flows between the buyer, seller, and utility provider appear to be legitimate commercial activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T15:45:01.002947+00:00,594516da298852de,4e8cccf694e3d74576bcc5accbaf4234d825d1989b659bb85ddf4c3e5d9d9798,False,no_flag,,"The transaction volume is consistent with legitimate business operations, involving a letter of credit, standard vendor payments, and payroll, showing no clear indicators of illicit layering or structuring.",366,52,8.6e-05,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is consistent with legitimate business operations, involving a letter of credit, standard vendor payments, and payroll, showing no clear indicators of illicit layering or structuring.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T15:45:01.189100+00:00,8c3bff8632f7a248,c3833d8b64a14ed5ecfead510735ccff9101d5550559203f59b3ce12ba47d2ad,False,no_flag,,"The transaction volume is consistent with standard business operations, involving a verified letter of credit and typical payroll/vendor activity without indicators of illicit layering or structuring.",365,49,8.4e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is consistent with standard business operations, involving a verified letter of credit and typical payroll/vendor activity without indicators of illicit layering or structuring.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T15:45:01.304197+00:00,b0d249da8fcbaa8d,5d234727b6828f8b4f9c0c50c0201ce1e8f6338553a6fb81559ff1d9b9ddb256,False,no_flag,,"The transaction volume is consistent with standard business operations, and the incoming transfers from a utility provider and vendor are typical for a verified business account.",364,48,8.3e-05,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is consistent with standard business operations, and the incoming transfers from a utility provider and vendor are typical for a verified business account.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T15:45:01.477682+00:00,bcf4b1b8e43832b0,bb8ff53d4d0c6833d239555daf298fd4817431fd49ab84ab399d31cf133e9e2b,False,no_flag,,"The transactions appear to be standard business operations, including a letter of credit payment, payroll receipt, and a utility refund or credit, showing no clear indicators of illicit activity.",364,53,8.6e-05,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions appear to be standard business operations, including a letter of credit payment, payroll receipt, and a utility refund or credit, showing no clear indicators of illicit activity.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,653433794,0.0,2026-07-15T15:45:01.831416+00:00,83848f9c3390c583,5be96846e0aa3221ef346c8a2b8ae8ea089eee55efab4bf333ae4fbedd3ff0f9,True,flag,rapid_passthrough,"The buyer receives small, disparate payments from multiple sources and immediately wires a large sum to a foreign seller, indicating a potential pass-through account used to obscure funds.",692,55,0.000137,True,,2,"{""suspicious"": true, ""typology"": ""rapid_passthrough"", ""rationale"": ""The buyer receives small, disparate payments from multiple sources and immediately wires a large sum to a foreign seller, indicating a potential pass-through account used to obscure funds.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,187749425,0.0,2026-07-15T15:45:02.129271+00:00,23c5925682903f6e,eaec891d4b6a9401af82f61675de775fe3db94a5af8e4d6066d6f5cf14b455d3,False,no_flag,,"The transactions reflect standard business operations, including international trade payments, tax obligations, and routine utility or rental payments, with no clear indicators of illicit layering or structuring.",687,51,0.000134,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions reflect standard business operations, including international trade payments, tax obligations, and routine utility or rental payments, with no clear indicators of illicit layering or structuring.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,1150219371,0.0,2026-07-15T15:45:02.130042+00:00,bcec221e653d231e,e18050f6419d1b52cb3cb824d7b77c89a18b0121ce60082d3abd3514d29c9871,False,no_flag,,"The transactions reflect standard business operations including international trade, tax payments, payroll, and property management, with no clear indicators of illicit layering or structuring.",689,48,0.000132,True,,1,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions reflect standard business operations including international trade, tax payments, payroll, and property management, with no clear indicators of illicit layering or structuring.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,696444186,0.0,2026-07-15T15:45:02.271737+00:00,19c6641fc74fa453,e029b2e96c5a7869a94987590eabb014f1a8d2a517d08e1274bbd952de587d72,False,no_flag,,"The transactions involve standard business activities including international trade, payroll, tax payments, and property management, showing no clear indicators of illicit layering or structuring.",689,48,0.000132,True,,2,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transactions involve standard business activities including international trade, payroll, tax payments, and property management, showing no clear indicators of illicit layering or structuring.""}"
pilot,REAL,gemini_flash_lite,gemini-flash-lite-latest,gemini,google,v_terse,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,56139592,0.0,2026-07-15T15:45:02.495189+00:00,42ff77692671648b,59ee4d94880ca143e173d8a165555cc3b2043c96764f458e7f8ee16870caf583,False,no_flag,,"The transaction volume is consistent with standard business operations, involving legitimate invoice payments, rent, and card settlements without clear indicators of illicit layering or structuring.",510,48,0.000105,True,,0,"{""suspicious"": false, ""typology"": ""null"", ""rationale"": ""The transaction volume is consistent with standard business operations, involving legitimate invoice payments, rent, and card settlements without clear indicators of illicit layering or structuring.""}"
