subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T14:37:50.239087+00:00,7c18698319985f3d,4f31d715b8774ef8305f1a00df3d0a9ff6b9e8cf2ba62a2e2cbe22812d6c86b7,False,no_flag,,"The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based money laundering.",350,50,0.000325,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based money laundering.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T14:37:50.269390+00:00,f06a90e6bedb9674,306f0dec651a74a048cbbb5b85a96bc063036770be7e0ae7dcc0c1e444a0f751,False,no_flag,,"The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based laundering.",350,49,0.000322,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based laundering.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T14:37:51.055465+00:00,00d36687a5fd56ea,9983801d3a1894b740eaae15458ad303bd1441656b994801d589a09b66f484d5,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice, showing no red flags.",350,46,0.000313,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice, showing no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T14:37:51.058850+00:00,52002aaf54501728,e3dea7c5d90d068c974f0f40d4fca1be0deaf26e5f29769e764650eb1f34b09b,False,no_flag,,"The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based laundering.",350,51,0.000328,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based laundering.""   }"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T14:37:51.185532+00:00,4edfc75f37246529,4f31d715b8774ef8305f1a00df3d0a9ff6b9e8cf2ba62a2e2cbe22812d6c86b7,False,no_flag,,"The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based money laundering.",350,50,0.000325,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based money laundering.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T14:37:51.401692+00:00,3988b324625bd217,289f8b34ee2ce431b608103fd11e2b8d96f9ac2af1338cc36593753d165f58a5,False,no_flag,,"The transaction is backed by a letter of credit, with bill of lading and invoice matching, showing no indicators of trade-based money laundering.",350,48,0.000319,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit, with bill of lading and invoice matching, showing no indicators of trade-based money laundering.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T14:37:51.845983+00:00,77f3bbd16cae7050,04631f6d631a7c294900840d3e377c35748cbbf0158702066f2c227962020470,False,no_flag,,"The transaction is backed by a letter of credit with matching bill of lading and invoice, showing legitimate trade with no red flags.",350,44,0.000307,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit with matching bill of lading and invoice, showing legitimate trade with no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T14:37:52.489366+00:00,6476176192bb0e11,6625a32198ead284499e95321860c4e57b8537f0d6563bce68d5ab7964dfeb00,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice documentation.",350,42,0.000301,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice documentation.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T14:37:52.570301+00:00,40fd55d4f5fc113c,04631f6d631a7c294900840d3e377c35748cbbf0158702066f2c227962020470,False,no_flag,,"The transaction is backed by a letter of credit with matching bill of lading and invoice, showing legitimate trade with no red flags.",350,44,0.000307,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit with matching bill of lading and invoice, showing legitimate trade with no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T14:37:53.178582+00:00,086711e7ef88e68b,9983801d3a1894b740eaae15458ad303bd1441656b994801d589a09b66f484d5,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice, showing no red flags.",350,46,0.000313,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice, showing no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-002,benign,,medium,benign:genuine_trade_finance,396810015,0.0,2026-07-15T14:37:53.326956+00:00,c31fe0dbdf98271e,306f0dec651a74a048cbbb5b85a96bc063036770be7e0ae7dcc0c1e444a0f751,False,no_flag,,"The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based laundering.",350,49,0.000322,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit, with the bill of lading and commercial invoice matching perfectly, showing no indicators of trade-based laundering.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,275787065,0.0,2026-07-15T14:37:54.025873+00:00,90cdf883cd20b429,04631f6d631a7c294900840d3e377c35748cbbf0158702066f2c227962020470,False,no_flag,,"The transaction is backed by a letter of credit with matching bill of lading and invoice, showing legitimate trade with no red flags.",350,44,0.000307,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is backed by a letter of credit with matching bill of lading and invoice, showing legitimate trade with no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-genuine_trade_finance-m-013,benign,,medium,benign:genuine_trade_finance,2103318664,0.0,2026-07-15T14:37:54.620658+00:00,6ba05ee3fec8549a,9983801d3a1894b740eaae15458ad303bd1441656b994801d589a09b66f484d5,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice, showing no red flags.",350,46,0.000313,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice, showing no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-e-002,benign,,easy,benign:loan_disbursement,1697661715,0.0,2026-07-15T14:37:55.177817+00:00,3d7c84c5ad76718b,e705d60663192f640fef399ee20aecc8ab31f0984fec941b048e558deec3c768,False,no_flag,,Legitimate loan disbursement and subsequent payment to an equipment vendor with no suspicious patterns or anomalies.,380,37,0.000301,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""Legitimate loan disbursement and subsequent payment to an equipment vendor with no suspicious patterns or anomalies.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_fatf,0,B-loan_disbursement-e-006,benign,,easy,benign:loan_disbursement,1868069804,0.0,2026-07-15T14:37:55.626549+00:00,baf9e5832b96e981,4a7f52850cede06c1a0a0fe9e37a8497560106fc9dac2617b87a9666f7c4befa,False,no_flag,,"Normal commercial activity where a bank loan is disbursed and paid to an equipment vendor, with no suspicious patterns or anomalies.",380,42,0.000316,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""Normal commercial activity where a bank loan is disbursed and paid to an equipment vendor, with no suspicious patterns or anomalies.""}"
