subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T14:34:36.739022+00:00,2f379647a685c17f,f77d687a82b79ae5b2200856aab29956cfeff74eea9a6e459ef5641c910ccafa,False,no_flag,,The transaction is a standard letter-of-credit backed trade payment with matching documentation and no red flags.,307,40,0.000273,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard letter-of-credit backed trade payment with matching documentation and no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T14:34:37.304958+00:00,7bfe41e07d159765,120070031ec446cc71a958148b20b68abca975d7bf8cbec5ca28b881ab2b1d9b,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with documentation matching the bill of lading and invoice.",307,43,0.000282,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with documentation matching the bill of lading and invoice.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T14:34:37.316415+00:00,9ec62be8fd045608,1e7772fb195fc789b68e620bf4ac18a02fa0e7ac760361760f082130d2961549,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching documentation and no red flags.",307,41,0.000276,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching documentation and no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,653433794,0.0,2026-07-15T14:34:37.889393+00:00,1afaf37c9c35d730,6625a32198ead284499e95321860c4e57b8537f0d6563bce68d5ab7964dfeb00,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice documentation.",307,42,0.00028,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice documentation.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T14:34:38.308649+00:00,51d71e91c36bdacd,c1509aec70a1c0f71522f93f5da45f3a899c0b0748bfecb1141c8d030f52d3de,False,no_flag,trade_based,"The transaction is backed by a letter of credit, with the amount matching the bill of lading and commercial invoice, showing no red flags.",307,48,0.000298,True,,0,"{""suspicious"": false, ""typology"": ""trade_based"", ""rationale"": ""The transaction is backed by a letter of credit, with the amount matching the bill of lading and commercial invoice, showing no red flags.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,187749425,0.0,2026-07-15T14:34:38.339562+00:00,6fbe802af31bba32,120070031ec446cc71a958148b20b68abca975d7bf8cbec5ca28b881ab2b1d9b,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with documentation matching the bill of lading and invoice.",307,43,0.000282,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with documentation matching the bill of lading and invoice.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T14:34:38.514450+00:00,2decff53ebf3ac89,40cb431ae35b2257c34b1047972107bbeabaeb33cf7dc41904fd9df068d94634,False,no_flag,,The transaction is a standard letter-of-credit backed trade payment with matching documentation and no red flags are absent.,307,42,0.00028,True,,1,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard letter-of-credit backed trade payment with matching documentation and no red flags are absent.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,696444186,0.0,2026-07-15T14:34:38.971481+00:00,788d5bc3bcb9dc92,5b15300c20ace7d165842075b6c59daa2841ba9fd31280e49f0a6ea72e037f4c,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and commercial invoice documentation.",307,45,0.000289,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and commercial invoice documentation.""   }"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,56139592,0.0,2026-07-15T14:34:39.727339+00:00,fc44c7d2a996c04b,6625a32198ead284499e95321860c4e57b8537f0d6563bce68d5ab7964dfeb00,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice documentation.",307,42,0.00028,True,,0,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice documentation.""}"
pilot,REAL,gemini_flash,gemini-flash-latest,gemini,google,v_terse,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,844643352,0.0,2026-07-15T14:34:39.750919+00:00,74ba7d1f28b7cbc5,607ca2125c42ce754646af76313538dc885d47e9a5d10323adee4ab4a4690b64,False,no_flag,,"The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice and verified counterparties.",307,45,0.000289,True,,2,"{""suspicious"": false, ""typology"": ""none"", ""rationale"": ""The transaction is a standard trade payment backed by a letter of credit, with matching bill of lading and invoice and verified counterparties.""}"
