subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,824330956,0.0,2026-07-15T14:27:16.583411+00:00,f06a90e6bedb9674,59639f306e7568753e2c8958583036768b795a1181d82855423939facd7613f3,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,27,6.6e-05,True,,1,"{""suspicious"":false,""typology"":null,""rationale"":""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,1796793457,0.0,2026-07-15T14:27:16.584575+00:00,4edfc75f37246529,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1526361317,0.0,2026-07-15T14:27:16.585453+00:00,00d36687a5fd56ea,59639f306e7568753e2c8958583036768b795a1181d82855423939facd7613f3,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,27,6.6e-05,True,,2,"{""suspicious"":false,""typology"":null,""rationale"":""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,1739650218,0.0,2026-07-15T14:27:16.587049+00:00,7c18698319985f3d,59639f306e7568753e2c8958583036768b795a1181d82855423939facd7613f3,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,27,6.6e-05,True,,0,"{""suspicious"":false,""typology"":null,""rationale"":""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2031700739,0.0,2026-07-15T14:27:16.709333+00:00,52002aaf54501728,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,529554070,0.0,2026-07-15T14:27:17.493465+00:00,77f3bbd16cae7050,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,583590072,0.0,2026-07-15T14:27:17.636755+00:00,6476176192bb0e11,59639f306e7568753e2c8958583036768b795a1181d82855423939facd7613f3,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,27,6.6e-05,True,,1,"{""suspicious"":false,""typology"":null,""rationale"":""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,1661732728,0.0,2026-07-15T14:27:17.920256+00:00,086711e7ef88e68b,59639f306e7568753e2c8958583036768b795a1181d82855423939facd7613f3,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,27,6.6e-05,True,,0,"{""suspicious"":false,""typology"":null,""rationale"":""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-002,benign,,medium,benign:genuine_trade_finance,396810015,0.0,2026-07-15T14:27:18.283623+00:00,c31fe0dbdf98271e,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,1249754794,0.0,2026-07-15T14:27:18.577931+00:00,3988b324625bd217,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-011,benign,,medium,benign:genuine_trade_finance,1758447072,0.0,2026-07-15T14:27:18.706031+00:00,1be3e8dffbf55330,59639f306e7568753e2c8958583036768b795a1181d82855423939facd7613f3,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,27,6.6e-05,True,,0,"{""suspicious"":false,""typology"":null,""rationale"":""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,275787065,0.0,2026-07-15T14:27:18.720210+00:00,90cdf883cd20b429,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,903174585,0.0,2026-07-15T14:27:18.857345+00:00,40fd55d4f5fc113c,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-012,benign,,medium,benign:genuine_trade_finance,956623152,0.0,2026-07-15T14:27:19.089922+00:00,cbfd1be8d7783220,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-genuine_trade_finance-m-013,benign,,medium,benign:genuine_trade_finance,2103318664,0.0,2026-07-15T14:27:19.375246+00:00,6ba05ee3fec8549a,06c26dc754df57e36d31a1ac210d831a39ce3b07bf8dc9347b9ce61d7d7121e1,False,no_flag,,Transaction appears legitimate with verified KYC and matching documentation.,331,30,6.8e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified KYC and matching documentation.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-loan_disbursement-e-000,benign,,easy,benign:loan_disbursement,771326158,0.0,2026-07-15T14:27:19.526625+00:00,21734fad644a1e43,fcfaea5706acee03648e57b0ef13436a9e3ea408cf81d4a0fd4151c88a6adcb4,False,no_flag,,Transaction appears legitimate with verified parties and clear purpose.,363,29,7.2e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified parties and clear purpose.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-loan_disbursement-e-002,benign,,easy,benign:loan_disbursement,1697661715,0.0,2026-07-15T14:27:19.638564+00:00,3d7c84c5ad76718b,fcfaea5706acee03648e57b0ef13436a9e3ea408cf81d4a0fd4151c88a6adcb4,False,no_flag,,Transaction appears legitimate with verified parties and clear purpose.,363,29,7.2e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified parties and clear purpose.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-loan_disbursement-e-006,benign,,easy,benign:loan_disbursement,1868069804,0.0,2026-07-15T14:27:19.807822+00:00,baf9e5832b96e981,fcfaea5706acee03648e57b0ef13436a9e3ea408cf81d4a0fd4151c88a6adcb4,False,no_flag,,Transaction appears legitimate with verified parties and clear purpose.,363,29,7.2e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified parties and clear purpose.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-loan_disbursement-e-008,benign,,easy,benign:loan_disbursement,1409372505,0.0,2026-07-15T14:27:19.947860+00:00,df41455f022c724b,fcfaea5706acee03648e57b0ef13436a9e3ea408cf81d4a0fd4151c88a6adcb4,False,no_flag,,Transaction appears legitimate with verified parties and clear purpose.,363,29,7.2e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified parties and clear purpose.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-loan_disbursement-e-011,benign,,easy,benign:loan_disbursement,1107894842,0.0,2026-07-15T14:27:20.084479+00:00,4843322add9b4f3d,fcfaea5706acee03648e57b0ef13436a9e3ea408cf81d4a0fd4151c88a6adcb4,False,no_flag,,Transaction appears legitimate with verified parties and clear purpose.,363,29,7.2e-05,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified parties and clear purpose.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-loan_disbursement-h-000,benign,,hard,benign:loan_disbursement,1330550275,0.0,2026-07-15T14:27:20.324435+00:00,8a3ebf5d60a57e92,fcfaea5706acee03648e57b0ef13436a9e3ea408cf81d4a0fd4151c88a6adcb4,False,no_flag,,Transaction appears legitimate with verified parties and clear purpose.,363,29,7.2e-05,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified parties and clear purpose.""}"
pilot,REAL,openai_4o_mini,gpt-4o-mini-2024-07-18,openai,openai,v_fatf,0,B-loan_disbursement-h-004,benign,,hard,benign:loan_disbursement,675396609,0.0,2026-07-15T14:27:20.496075+00:00,4c8009bc7e15efe5,fcfaea5706acee03648e57b0ef13436a9e3ea408cf81d4a0fd4151c88a6adcb4,False,no_flag,,Transaction appears legitimate with verified parties and clear purpose.,363,29,7.2e-05,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transaction appears legitimate with verified parties and clear purpose.""}"
