subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-000,benign,,easy,benign:genuine_trade_finance,1973213412,0.0,2026-07-15T16:41:03.894154+00:00,17f1cf72fae2b15e,893d47e6f7b30cd4cbcfb84d3d87d3cfea9693e65d4191b835ec96122ce0274f,False,no_flag,,"Normal verified business trade payment with minor utilities; no layering, structuring or other red flags.",569,36,0.001674,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Normal verified business trade payment with minor utilities; no layering, structuring or other red flags.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T16:41:05.058726+00:00,801d0234a707a90c,50cb6312b592ba1f10d8ca0838b318d2c055c1a702abd95d66d179eeff7fa950,False,no_flag,,Normal cross-border trade wire between verified businesses; minor utility and card flows show no laundering indicators.,570,38,0.001691,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Normal cross-border trade wire between verified businesses; minor utility and card flows show no laundering indicators.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T16:41:05.327967+00:00,8c3bff8632f7a248,c6d0823e3c3b58194f6b544dfd46081f5da3a250019d6d194e03706b2c0c18c7,False,no_flag,,"Verified businesses, single legitimate wire for trade, minor routine invoice and payroll; no red flags.",570,36,0.001677,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Verified businesses, single legitimate wire for trade, minor routine invoice and payroll; no red flags.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-003,benign,,easy,benign:genuine_trade_finance,1654290126,0.0,2026-07-15T16:41:06.781213+00:00,5973d00dda1ebc47,dae7c1001f5734d22b7f9cb102756a3e1b8a6db513cf2c6ed45abbe1b54005dd,False,no_flag,,Verified businesses with standard trade wire and minor unrelated payments; no ML indicators.,571,32,0.001651,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Verified businesses with standard trade wire and minor unrelated payments; no ML indicators.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T16:41:07.391703+00:00,594516da298852de,7dd1e204848ffde16164b0690a4972d6ff092c60313999f202bde19f9d17fb22,False,no_flag,,Legitimate trade payment between verified businesses plus minor vendor and payroll flows; no ML indicators.,572,34,0.001668,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Legitimate trade payment between verified businesses plus minor vendor and payroll flows; no ML indicators.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T16:41:10.056512+00:00,b0d249da8fcbaa8d,59f42a84306d6802fd5423723441b2b8a1af986e7861f3880603143d1a05c891,False,no_flag,,Normal verified trade wire; minor reverse inflows lack laundering indicators.,569,31,0.001639,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Normal verified trade wire; minor reverse inflows lack laundering indicators.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-005,benign,,easy,benign:genuine_trade_finance,1751529096,0.0,2026-07-15T16:41:10.171980+00:00,521b82f4c8cdd7bf,99d0f34752f78b16e97a58b6d9e12a240e465e18ea209f9dcebba70974a2f478,False,no_flag,,"Legitimate cross-border trade payment with minor unrelated utility/rent flows; verified parties, no layering or red flags.",568,41,0.001707,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Legitimate cross-border trade payment with minor unrelated utility/rent flows; verified parties, no layering or red flags.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-007,benign,,easy,benign:genuine_trade_finance,767577600,0.0,2026-07-15T16:41:10.270834+00:00,b3ef79d6ec4d3395,d46ce6108b66721f1fba9d9e08fd9fcabf5eda01c20ee219d90ba80cee83bdf6,False,no_flag,,Normal trade payment under LC followed by routine vendor and payroll outflows; no layering or other red flags.,572,39,0.001703,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Normal trade payment under LC followed by routine vendor and payroll outflows; no layering or other red flags.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T16:41:11.507332+00:00,bcf4b1b8e43832b0,29413400637351de821fcce160ef30614e4d67dbed051225072215f407d9e078,False,no_flag,,Verified businesses with single large wire payment consistent with trade; minor payroll/utility transfers unrelated and normal.,568,37,0.001679,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Verified businesses with single large wire payment consistent with trade; minor payroll/utility transfers unrelated and normal.""}"
full,REAL,xai_grok,grok-4.5,xai,xai,v_terse,0,B-genuine_trade_finance-e-009,benign,,easy,benign:genuine_trade_finance,191638504,0.0,2026-07-15T16:41:13.637748+00:00,98f0c7fc0afa1d72,eb3b9fdde235ca84c04803683d4997d4f255921f2c2c2da1aed9f6166caf2244,False,no_flag,,"Normal verified business wire payment with minor payroll and tax; no layering, structuring or other red flags.",567,38,0.001683,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Normal verified business wire payment with minor payroll and tax; no layering, structuring or other red flags.""}"
