subgrid,mode,model_key,api_model,provider,family,prompt_variant,seed_index,case_id,label,typology,difficulty,stratum,seed,temperature,timestamp_utc,prompt_hash,content_sha256,suspicious,decision,out_typology,rationale,input_tokens,output_tokens,cost_usd,ok,error,key_id,raw_response
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-002,benign,,easy,benign:genuine_trade_finance,2140278145,0.0,2026-07-15T15:16:02.352427+00:00,8c3bff8632f7a248,96db066ca58f4a6dd0dfad1f3aeee0221a174b5139c6bb6e4f4d28dacb9de9d9,False,no_flag,,Transactions align with typical business operations; no layering or structuring indicators detected.,345,34,0.000192,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business operations; no layering or structuring indicators detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-001,benign,,easy,benign:genuine_trade_finance,941626782,0.0,2026-07-15T15:16:02.354621+00:00,801d0234a707a90c,145d758a55f6bc59941cda8249dc8da90383faadc7cfa84949ae3cc29c0e77a2,False,no_flag,,Transactions align with typical business trade and utility payments; no layering or structuring indicators detected.,340,37,0.000195,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business trade and utility payments; no layering or structuring indicators detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-006,benign,,easy,benign:genuine_trade_finance,742370855,0.0,2026-07-15T15:16:02.356266+00:00,b0d249da8fcbaa8d,6dc0de38cdfe0f0fb6c1c59b9e6c4340b167bdbe13308eb7929afcddee2398af,False,no_flag,,Transactions appear consistent with legitimate business activity and verified KYC; no layering or structuring indicators.,340,38,0.000197,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with legitimate business activity and verified KYC; no layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-004,benign,,easy,benign:genuine_trade_finance,1864465226,0.0,2026-07-15T15:16:02.356784+00:00,594516da298852de,be7f86cbcb7b54464fcdafd753dbf67fed9e28e06ae494808ce23a25a4feb275,True,flag,trade_based,High-value cross-border trade with unusual payroll payment to seller suggests possible trade-based money laundering.,345,39,0.0002,True,,2,"{""suspicious"": true, ""typology"": ""trade_based"", ""rationale"": ""High-value cross-border trade with unusual payroll payment to seller suggests possible trade-based money laundering.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-e-008,benign,,easy,benign:genuine_trade_finance,698669257,0.0,2026-07-15T15:16:02.387173+00:00,bcf4b1b8e43832b0,e50e0a1f3ae9349582e31783c299b672ec119ab461af139a7101a8860bd24f0d,False,no_flag,,Transactions are consistent with normal business and payroll activities without layering or structuring indicators.,342,35,0.000193,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions are consistent with normal business and payroll activities without layering or structuring indicators.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-001,benign,,hard,benign:genuine_trade_finance,653433794,0.0,2026-07-15T15:16:03.345680+00:00,83848f9c3390c583,40a84ff5fe6fc16abfda02a1d633dac30b4edf34d2ac980c68d3bb2ca76ec95b,False,no_flag,,Transactions appear consistent with business operations; no clear layering or structuring patterns detected.,618,35,0.000303,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no clear layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-006,benign,,hard,benign:genuine_trade_finance,187749425,0.0,2026-07-15T15:16:03.659709+00:00,23c5925682903f6e,34b29fad7e39f230afd2aa029440c0a8f8bde2d575d54e99f2aecb4f27b96048,False,no_flag,,Transactions appear consistent with normal business and utility payments; no layering or structuring patterns detected.,610,37,0.000303,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with normal business and utility payments; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-010,benign,,hard,benign:genuine_trade_finance,696444186,0.0,2026-07-15T15:16:03.832209+00:00,19c6641fc74fa453,fe4f972d23f93879e21e5a6b1f356eb9109689882f499477703c3bef7ad87558,False,no_flag,,Transactions appear consistent with business operations and rent/tax payments; no clear layering or structuring patterns detected.,615,40,0.00031,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations and rent/tax payments; no clear layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-000,benign,,medium,benign:genuine_trade_finance,56139592,0.0,2026-07-15T15:16:03.841322+00:00,42ff77692671648b,40a84ff5fe6fc16abfda02a1d633dac30b4edf34d2ac980c68d3bb2ca76ec95b,False,no_flag,,Transactions appear consistent with business operations; no clear layering or structuring patterns detected.,463,35,0.000241,True,,0,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations; no clear layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-h-008,benign,,hard,benign:genuine_trade_finance,1150219371,0.0,2026-07-15T15:16:03.886632+00:00,bcec221e653d231e,8322047416ae1c40a6db3f381548f31300cca12c14b622f6f7b713e0326f0275,False,no_flag,,Transactions appear consistent with business operations and verified KYC; no layering or structuring patterns detected.,617,38,0.000308,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations and verified KYC; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-002,benign,,medium,benign:genuine_trade_finance,2056509707,0.0,2026-07-15T15:16:04.357163+00:00,b4f3cdd4397c2eda,8322047416ae1c40a6db3f381548f31300cca12c14b622f6f7b713e0326f0275,False,no_flag,,Transactions appear consistent with business operations and verified KYC; no layering or structuring patterns detected.,456,38,0.000243,True,,1,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with business operations and verified KYC; no layering or structuring patterns detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-003,benign,,medium,benign:genuine_trade_finance,844643352,0.0,2026-07-15T15:16:04.993167+00:00,c636d6de946d2a42,785e36cca51010448f66c3543eabf2cd8ed3ca927d9070cf647f8f5cf7a6c712,False,no_flag,,Transactions appear consistent with verified business activities and normal payments; no layering or structuring indicators detected.,459,38,0.000244,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions appear consistent with verified business activities and normal payments; no layering or structuring indicators detected.""}"
pilot,REAL,openai_41_mini,gpt-4.1-mini-2025-04-14,openai,openai,v_terse,0,B-genuine_trade_finance-m-013,benign,,medium,benign:genuine_trade_finance,2087259092,0.0,2026-07-15T15:16:05.012716+00:00,1ee3b42733901302,226d9f9575ec5622f0282cbfeadcb7239c9b388f5efe94bbd13d06ead7f24007,False,no_flag,,Transactions align with typical business operations and verified KYC; no layering or structuring patterns detected.,464,38,0.000246,True,,2,"{""suspicious"": false, ""typology"": null, ""rationale"": ""Transactions align with typical business operations and verified KYC; no layering or structuring patterns detected.""}"
